scalerank,featurecla,LABELRANK,SOVEREIGNT,SOV_A3,ADM0_DIF,LEVEL,TYPE,ADMIN,ADM0_A3,GEOU_DIF,GEOUNIT,GU_A3,SU_DIF,SUBUNIT,SU_A3,BRK_DIFF,NAME,NAME_LONG,BRK_A3,BRK_NAME,BRK_GROUP,ABBREV,POSTAL,FORMAL_EN,FORMAL_FR,NAME_CIAWF,NOTE_ADM0,NOTE_BRK,NAME_SORT,NAME_ALT,MAPCOLOR7,MAPCOLOR8,MAPCOLOR9,MAPCOLOR13,POP_EST,POP_RANK,GDP_MD_EST,POP_YEAR,LASTCENSUS,GDP_YEAR,ECONOMY,INCOME_GRP,WIKIPEDIA,FIPS_10_,ISO_A2,ISO_A3,ISO_A3_EH,ISO_N3,UN_A3,WB_A2,WB_A3,WOE_ID,WOE_ID_EH,WOE_NOTE,ADM0_A3_IS,ADM0_A3_US,ADM0_A3_UN,ADM0_A3_WB,CONTINENT,REGION_UN,SUBREGION,REGION_WB,NAME_LEN,LONG_LEN,ABBREV_LEN,TINY,HOMEPART,MIN_ZOOM,MIN_LABEL,MAX_LABEL,ZS_count,ZS_mean,ZS_median,ZS_stdev,ZS_min,ZS_max,zs_solar_c,zs_solar_s,zs_solar_m,zs_solar_1,zs_solar_2,zs_solar_3,zs_solar_4,zs_solar_5,zs_solar_6,zs_solar_7,zs_solar_8,zs_solar_9,zs_solar10,zs_solar11,NEIGHBORS,SUM,iso_join_ISO_A3_EH,iso_join_ISO_A2_EH
0,Admin-0 sovereignty,3.00,Afghanistan,AFG,0.00,2.00,Sovereign country,Afghanistan,AFG,0.00,Afghanistan,AFG,0.00,Afghanistan,AFG,0.00,Afghanistan,Afghanistan,AFG,Afghanistan,,Afg.,AF,Islamic State of Afghanistan,,Afghanistan,,,Afghanistan,,5.00,6.00,8.00,7.00,34124811.00,15.00,64080.00,2017.00,1979.00,2016.00,7. Least developed region,5. Low income,-99.00,AF,AF,AFG,AFG,004,004,AF,AFG,23424739.00,23424739.00,Exact WOE match as country,AFG,AFG,-99.00,-99.00,Asia,Asia,Southern Asia,South Asia,11.00,11.00,4.00,-99.00,1.00,0.00,3.00,7.00,56340.000000000000000,5.164343296927173,5.000000000000000,1.912048940052725,0.000000000000000,11.000000000000000,,,,,,,,5.590000152587891,,,,,,,"UZ,CN,IR,TM,PK,TJ",1717611359,AFG,AF
0,Admin-0 sovereignty,3.00,Angola,AGO,0.00,2.00,Sovereign country,Angola,AGO,0.00,Angola,AGO,0.00,Angola,AGO,0.00,Angola,Angola,AGO,Angola,,Ang.,AO,People's Republic of Angola,,Angola,,,Angola,,3.00,2.00,6.00,1.00,29310273.00,15.00,189000.00,2017.00,1970.00,2016.00,7. Least developed region,3. Upper middle income,-99.00,AO,AO,AGO,AGO,024,024,AO,AGO,23424745.00,23424745.00,Exact WOE match as country,AGO,AGO,-99.00,-99.00,Africa,Africa,Middle Africa,Sub-Saharan Africa,6.00,6.00,4.00,-99.00,1.00,0.00,3.00,7.00,93290.000000000000000,1.803944688605424,0.000000000000000,2.402887435616830,0.000000000000000,6.000000000000000,,,,,,,,5.407000064849854,,,,,,,"CD,ZM,NA,CG",106712605,AGO,AO
0,Admin-0 sovereignty,6.00,Albania,ALB,0.00,2.00,Sovereign country,Albania,ALB,0.00,Albania,ALB,0.00,Albania,ALB,0.00,Albania,Albania,ALB,Albania,,Alb.,AL,Republic of Albania,,Albania,,,Albania,,1.00,4.00,1.00,6.00,3047987.00,12.00,33900.00,2017.00,2001.00,2016.00,6. Developing region,4. Lower middle income,-99.00,AL,AL,ALB,ALB,008,008,AL,ALB,23424742.00,23424742.00,Exact WOE match as country,ALB,ALB,-99.00,-99.00,Europe,Europe,Southern Europe,Europe & Central Asia,7.00,7.00,4.00,-99.00,1.00,0.00,5.00,10.00,2645.000000000000000,5.925226811154803,5.957336425781250,0.964483167635950,0.000000000000000,7.994926929473877,,,,,,,,4.245999813079834,,,,,,,"GR,#N/A,MK,ME",15409998,ALB,AL
0,Admin-0 sovereignty,6.00,Andorra,AND,0.00,2.00,Sovereign country,Andorra,AND,0.00,Andorra,AND,0.00,Andorra,AND,0.00,Andorra,Andorra,AND,Andorra,,And.,AND,Principality of Andorra,,Andorra,,,Andorra,,1.00,4.00,1.00,8.00,85702.00,8.00,3327.00,2017.00,1989.00,2015.00,2. Developed region: nonG7,2. High income: nonOECD,-99.00,AN,AD,AND,AND,020,020,AD,ADO,23424744.00,23424744.00,Exact WOE match as country,AND,AND,-99.00,-99.00,Europe,Europe,Southern Europe,Europe & Central Asia,7.00,7.00,4.00,5.00,1.00,0.00,5.00,10.00,0.000000000000000,,,,,,,,,,,,,4.494999885559082,,,,,,,"ES,FR",116691967,AND,AD
0,Admin-0 sovereignty,4.00,United Arab Emirates,ARE,0.00,2.00,Sovereign country,United Arab Emirates,ARE,0.00,United Arab Emirates,ARE,0.00,United Arab Emirates,ARE,0.00,United Arab Emirates,United Arab Emirates,ARE,United Arab Emirates,,U.A.E.,AE,United Arab Emirates,,United Arab Emirates,,,United Arab Emirates,,2.00,1.00,3.00,3.00,6072475.00,13.00,667200.00,2017.00,2010.00,2016.00,6. Developing region,2. High income: nonOECD,-99.00,AE,AE,ARE,ARE,784,784,AE,ARE,23424738.00,23424738.00,Exact WOE match as country,ARE,ARE,-99.00,-99.00,Asia,Asia,Western Asia,Middle East & North Africa,20.00,20.00,6.00,-99.00,1.00,0.00,4.00,9.00,5596.000000000000000,5.286926896679478,5.405532360076904,0.576569974311349,0.000000000000000,6.300025939941406,,,,,,,,5.308000087738037,,,,,,,"OM,SA",31996156,ARE,AE
0,Admin-0 sovereignty,2.00,Argentina,ARG,0.00,2.00,Sovereign country,Argentina,ARG,0.00,Argentina,ARG,0.00,Argentina,ARG,0.00,Argentina,Argentina,ARG,Argentina,,Arg.,AR,Argentine Republic,,Argentina,,,Argentina,,3.00,1.00,3.00,13.00,44293293.00,15.00,879400.00,2017.00,2010.00,2016.00,5. Emerging region: G20,3. Upper middle income,-99.00,AR,AR,ARG,ARG,032,032,AR,ARG,23424747.00,23424747.00,Exact WOE match as country,ARG,ARG,-99.00,-99.00,South America,Americas,South America,Latin America & Caribbean,9.00,9.00,4.00,-99.00,1.00,0.00,2.00,7.00,250465.000000000000000,6.998063288712971,6.630584239959717,2.411384632308331,0.000000000000000,20.410640716552734,,,,,,,,6.806000232696533,,,,,,,"BR,CL,BO,PY,UY",246584779,ARG,AR
0,Admin-0 sovereignty,6.00,Armenia,ARM,0.00,2.00,Sovereign country,Armenia,ARM,0.00,Armenia,ARM,0.00,Armenia,ARM,0.00,Armenia,Armenia,ARM,Armenia,,Arm.,ARM,Republic of Armenia,,Armenia,,,Armenia,,3.00,1.00,2.00,10.00,3045191.00,12.00,26300.00,2017.00,2001.00,2016.00,6. Developing region,4. Lower middle income,-99.00,AM,AM,ARM,ARM,051,051,AM,ARM,23424743.00,23424743.00,Exact WOE match as country,ARM,ARM,-99.00,-99.00,Asia,Asia,Western Asia,Europe & Central Asia,7.00,7.00,4.00,-99.00,1.00,0.00,5.00,10.00,2816.000000000000000,4.203140620650216,4.979753494262695,2.537081740935743,0.000000000000000,9.585725784301758,,,,,,,,4.500999927520752,,,,,,,"GE,TR,AZ,IR",177754505,ARM,AM
0,Admin-0 sovereignty,4.00,Antarctica,ATA,0.00,2.00,Indeterminate,Antarctica,ATA,0.00,Antarctica,ATA,0.00,Antarctica,ATA,0.00,Antarctica,Antarctica,ATA,Antarctica,,Ant.,AQ,,,,,Multiple claims held in abeyance,Antarctica,,4.00,5.00,1.00,-99.00,4050.00,4.00,810.00,2013.00,-99.00,2013.00,6. Developing region,2. High income: nonOECD,-99.00,AY,AQ,ATA,ATA,010,-099,-99,-99,28289409.00,28289409.00,Exact WOE match as country,ATA,ATA,-99.00,-99.00,Antarctica,Antarctica,Antarctica,Antarctica,10.00,10.00,4.00,-99.00,1.00,0.00,4.00,9.00,,,,,,,,,,,,,,,,,,,,,,0,ATA,AQ
3,Admin-0 sovereignty,6.00,Antigua and Barbuda,ATG,0.00,2.00,Sovereign country,Antigua and Barbuda,ATG,0.00,Antigua and Barbuda,ATG,0.00,Antigua and Barbuda,ATG,0.00,Antigua and Barb.,Antigua and Barbuda,ATG,Antigua and Barb.,,Ant.B.,AG,Antigua and Barbuda,,Antigua and Barbuda,,,Antigua and Barbuda,,2.00,2.00,5.00,5.00,94731.00,8.00,2171.00,2017.00,2011.00,2016.00,6. Developing region,3. Upper middle income,-99.00,AC,AG,ATG,ATG,028,028,AG,ATG,23424737.00,23424737.00,Exact WOE match as country,ATG,ATG,-99.00,-99.00,North America,Americas,Caribbean,Latin America & Caribbean,17.00,19.00,6.00,4.00,1.00,0.00,5.00,9.50,0.000000000000000,,,,,,,,,,,,,4.861999988555908,,,,,,,,0,ATG,AG
0,Admin-0 sovereignty,2.00,Australia,AU1,0.00,1.00,Sovereignty,Australia,AU1,0.00,Australia,AU1,0.00,Australia,AU1,0.00,Australia,Australia,AU1,Australia,,Auz.,AU,Commonwealth of Australia,,,,,Australia,,1.00,2.00,2.00,7.00,23237428.00,15.00,1189075.17,2017.00,-99.00,2016.00,2. Developed region: nonG7,1. High income: OECD,-99.00,-99,-99,-99,AUS,-99,-099,-99,-99,-99.00,23424748.00,No WOE equivalent.,AUS,AU1,-99.00,-99.00,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,9.00,9.00,4.00,-99.00,1.00,0.00,100.00,100.00,615894.000000000000000,6.119701618961621,6.147444725036621,0.667694715339788,0.000000000000000,11.208147048950195,,,,,,,,5.355000019073486,,,,,,,,0,AUS,AU
0,Admin-0 sovereignty,4.00,Austria,AUT,0.00,2.00,Sovereign country,Austria,AUT,0.00,Austria,AUT,0.00,Austria,AUT,0.00,Austria,Austria,AUT,Austria,,Aust.,A,Republic of Austria,,Austria,,,Austria,,3.00,1.00,3.00,4.00,8754413.00,13.00,416600.00,2017.00,2011.00,2016.00,2. Developed region: nonG7,1. High income: OECD,-99.00,AU,AT,AUT,AUT,040,040,AT,AUT,23424750.00,23424750.00,Exact WOE match as country,AUT,AUT,-99.00,-99.00,Europe,Europe,Western Europe,Europe & Central Asia,7.00,7.00,5.00,-99.00,1.00,0.00,3.00,8.00,9044.000000000000000,6.245602581048634,6.353054523468018,1.415575468895816,0.000000000000000,9.812126159667969,,,,,,,,3.875999927520752,,,,,,,"SI,CZ,SK,HU,IT,LI,CH,DE",178949889,AUT,AT
