,fuel,fuel_class
0,AGAS,BIOGAS
1,BAG,BIOGAS
2,BFG,GAS
3,BGAS,BIOMASS
4,BIOMASS,BIOMASS
5,BITUMEN,OIL
6,BL,BIOOIL
7,CGAS,COAL
8,CKGAS,COAL
9,COAL,COAL
10,COG,COAL
11,COKE,COAL
12,CSGAS,COAL
13,CWM,COAL
14,CXGAS,COAL
15,DGAS,BIOGAS
16,DME,GAS
17,ETHANOL,BIOOIL
18,FGAS,GAS
19,GAS,GAS
20,GEO,GEOTHERMAL
21,H2,BIOGAS
22,HELIUM,BIOGAS
23,HZDWST,WASTE
24,INDWST,WASTE
25,JET,OIL
26,KERO,OIL
27,LGAS,WASTE
28,LIGNIN,BIOMASS
29,LIQ,BIOOIL
30,LNG,GAS
31,LPG,GAS
32,MANURE,BIOMASS
33,MBM,BIOMASS
34,MEDWST,WASTE
35,METHANOL,BIOGAS
36,MGAS,GAS
37,NAP,OIL
38,NGL,GAS
39,OGAS,OIL
40,OIL,OIL
41,ORI,OIL
42,PEAT,BIOMASS
43,PWST,BIOMASS
44,REF,WASTE
45,REFGAS,WASTE
46,RGAS,GAS
47,RPF,WASTE
48,SHALE,OIL
49,SUN,SUN
50,TGAS,GAS
51,TIRES,WASTE
52,TSAND,OIL
53,UNK,UNKNOWN
54,UR,NUCLEAR
55,VOCGAS,GAS
56,WAT,WATER
57,WIND,WIND
58,WOOD,BIOMASS
59,WOODGAS,BIOGAS
60,WSTGAS,WASTE
61,WSTH,WASTE
62,WSTWSL,WASTE
