,TO,LS,NL,CU,US,SV,MX,AR,AU,PA,DE,DK,BE,FI,CH,GL,JP,NG,BS,PH,TM,IR,RU,PE,CL,ES,GE,BR,TZ,LB,TD,CA,ZW,AT,SA,ET,CI,CN,NO,IT,AE,LY,EG,QA,SE,ZA,ID,GR,BO,FR,NP,OM,PL,IN,TR,KR,YE,UG,DZ,MZ,SG,CR,PT,MN,DO,LK,IL,MA,IE,RO,EC,GT,KW,KE,EE,PW,LV,NZ,CK,PF,SI,HU,CO,MR,UZ,GA,GH,BJ,CG,KZ,IS,SD,PK,BG,BH,IQ,SY,KG,WS,SR,UA,VE,AZ,PG,HN,TH,TV,BZ,MG,AO,NI,JO,VN,BD,KP,GB,AI,KM,GY,NE,JM,LI,BB,AM,AW,SH,ER,AF,CV,SB,MK,YT,CM,BF,TW,PY,TJ,LU,SN,CF,MY,AL,MD,MM,ML,ZM,GN,BA,GM,CZ,BY,BT,KH,UY,MU,HT,MQ,VC,SO,BN,SK,KI,GQ,SZ,MH,TN,GW,SL,RE,AN,FO,DJ,HR,TT,BI,FJ,GU,GD,MW,NC,FM,ST,MT,AG,LC,GF,GP,CY,MV,BM,AD,AS,DM,MC,KY,BW,RW,TC,LA,MP,LT,GI,TG,EH,LR,VU,AQ,PM,MS,FK,NR,KN,SC,CX
TO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.0,0.976940203108,0.0,0.000146721610655,0.0,0.0,6.49928316409e-05,0.000131049410654,0.0,0.000761940693105,0.000127078778658,0.00092346226237,0.00085624878402,3.01434131293e-05,0.0,4.1336153249e-05,3.20517743144e-07,0.0,3.18680875423e-05,0.0,0.0,0.0,0.0,0.0,0.000745965655997,0.0,4.31542599435e-07,0.0,0.0,0.0,0.0,0.0,0.00167926274828,1.13217956702e-06,0.0,0.0,1.52040698669e-05,0.000195614706198,0.0001639679433,0.0,9.51740658897e-06,1.71412851463e-05,0.0,0.000547388033131,0.000112376932627,2.4736290317e-05,0.000274520658909,2.92473278207e-05,0.000335814409271,0.0,0.0,0.0,3.28992244904e-07,2.95030264961e-06,3.55296920465e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04771740291e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.20922856343e-05,0.0,0.0,0.0,1.45213824993e-05,1.97522185722e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01149047413e-06,0.0,0.0,0.0,5.11273051583e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04099044543e-05,0.0,0.0,0.0,0.000113402272403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68856417434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CU,0.0,0.0,0.0,0.9935333419,1.92518552333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121617843964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,0.0,0.0,0.00739621814182,0.00464473794639,0.993919967258,0.0,0.0141641837965,0.000882852148846,0.0139649384932,0.0,0.0025316074889,0.0,0.0,0.0,0.0,0.0,1.03299077875e-06,0.0334606835469,0.0,0.0220392403823,0.0,0.0,4.97722958041e-05,0.0,0.0,0.0009017767854,0.0,1.16416133766e-05,0.0,0.0,0.0,0.0210347159558,0.0,0.0,4.49132759937e-05,0.0,0.0,0.0,0.0,2.45626980324e-05,0.0,0.00185004469029,0.0,0.0,0.0,0.0,0.00461061953765,0.0,0.0,0.000360405840374,0.0,0.0,0.00581098466438,7.20658685324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00687369267527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92337371971e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82168534751e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156633525334,0.0,0.0,0.0,0.0,0.0,0.0,0.0350318812946,0.0,0.0,0.0,0.0,0.340654772756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00379944742907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00363485630159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166177611642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00942397314729,0.0,0.0,0.0715177785356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MX,0.0,0.0,0.0,0.0,0.000729751596505,0.0,0.981221801091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99349036662e-05,0.0,0.0,0.0,0.0014300057708,0.0,0.0,0.0,0.0,0.0,6.05177912591e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000376286655704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0,9.36294061673e-05,0.0,2.52301110845e-05,0.0,0.0,0.994952851771,7.24125736159e-07,0.0,3.74276156233e-06,4.36899619967e-06,4.42271253994e-08,3.50020524119e-07,5.55006836531e-06,0.0,3.58620590159e-08,0.00036109415129,0.0,4.16230971529e-07,0.0,0.000112649601782,2.46277644795e-05,0.0,0.0,1.49408765407e-05,0.0,7.94565273392e-08,0.0,0.0,0.0,0.0,0.0,2.16754998165e-06,2.08459273401e-07,0.0,0.0,2.79940519112e-06,4.46909760433e-07,3.16804583928e-06,8.37335300997e-05,1.75236483681e-06,3.15608932616e-06,0.0,1.36476002419e-05,0.0,4.33360443531e-05,0.0,5.38507926131e-06,0.000809590855501,0.0,0.0,0.0,4.75178366166e-08,5.43215903701e-07,6.54180132192e-07,0.0,0.0,0.000290401078811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115211213e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.22645696011e-06,0.0,0.0,0.0,2.673707363e-06,3.63681985752e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5448193412e-07,0.0,0.0,0.0,9.41366651963e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00493395432239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06802949366e-06,0.0,0.0,7.00608494798e-07,2.08798639331e-05,0.0,1.01773267733e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.63268256687e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,0.0,0.0,0.000327131054588,0.0,0.000691528531173,0.0,0.0,1.2547403796e-06,0.982369416373,0.0,1.41430059944e-05,2.09063943623e-05,2.11634362415e-07,1.67490809735e-06,2.65580267595e-05,0.0,1.27473027869e-05,2.82393993102e-07,0.0,0.000110552433176,0.0,0.0,0.0,0.0,0.00386087785562,2.1266783526e-05,0.0,3.80213078541e-07,0.0,0.0,0.0,0.0,0.0,0.000225918610276,9.97513291162e-07,0.0,0.0,1.52952488502e-05,0.000114831224335,1.51596414021e-05,0.0,8.38536557842e-06,1.5102427441e-05,0.0,5.960507749e-06,2.23408264713e-05,0.000149216538762,0.000962645393146,2.57685256668e-05,0.000384639602617,0.0,0.0,0.0,2.14109445711e-07,2.5993810449e-06,4.25229875282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68520887116e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.06539775068e-05,0.0,0.0,0.0,1.27941472104e-05,1.74028052878e-06,0.0,0.0,0.0,0.0155383219117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6532909281e-06,0.0,0.0,0.0,4.50460049998e-06,0.0,0.0,0.0223701728614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000341782733758,0.0,0.0,0.0,9.99137215201e-05,0.0,0.000367629006569,0.0,0.0,0.0,0.0,0.0,0.0,4.13088631574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
