COMPANY,CCCE,TO,TO_green,TO_blue,LS,LS_green,LS_blue,NL,NL_green,NL_blue,CU,CU_green,CU_blue,US,US_green,US_blue,BR,BR_green,BR_blue,SV,SV_green,SV_blue,MX,MX_green,MX_blue,AR,AR_green,AR_blue,AU,AU_green,AU_blue,PA,PA_green,PA_blue,VN,VN_green,VN_blue,DE,DE_green,DE_blue,DK,DK_green,DK_blue,BE,BE_green,BE_blue,FI,FI_green,FI_blue,CH,CH_green,CH_blue,GL,GL_green,GL_blue,JP,JP_green,JP_blue,NG,NG_green,NG_blue,ET,ET_green,ET_blue,BS,BS_green,BS_blue,PH,PH_green,PH_blue,TM,TM_green,TM_blue,IR,IR_green,IR_blue,RU,RU_green,RU_blue,PE,PE_green,PE_blue,CL,CL_green,CL_blue,ES,ES_green,ES_blue,GE,GE_green,GE_blue,nan_blue,TZ,TZ_green,TZ_blue,LB,LB_green,LB_blue,TD,TD_green,TD_blue,KG,KG_green,KG_blue,CA,CA_green,CA_blue,ZW,ZW_green,ZW_blue,AT,AT_green,AT_blue,IN,IN_green,IN_blue,SA,SA_green,SA_blue,CI,CI_green,CI_blue,CN,CN_green,CN_blue,EC,EC_green,EC_blue,NO,NO_green,NO_blue,BJ,BJ_green,BJ_blue,IT,IT_green,IT_blue,AE,AE_green,AE_blue,LY,LY_green,LY_blue,EG,EG_green,EG_blue,QA,QA_green,QA_blue,SE,SE_green,SE_blue,ZA,ZA_green,ZA_blue,ID,ID_green,ID_blue,GR,GR_green,GR_blue,BO,BO_green,BO_blue,FR,FR_green,FR_blue,NP,NP_green,NP_blue,CO,CO_green,CO_blue,OM,OM_green,OM_blue,PL,PL_green,PL_blue,TR,TR_green,TR_blue,KR,KR_green,KR_blue,YE,YE_green,YE_blue,TG,TG_green,TG_blue,UG,UG_green,UG_blue,DZ,DZ_green,DZ_blue,MZ,MZ_green,MZ_blue,SG,SG_green,SG_blue,CR,CR_green,CR_blue,PT,PT_green,PT_blue,MN,MN_green,MN_blue,DO,DO_green,DO_blue,LK,LK_green,LK_blue,BG,BG_green,BG_blue,IL,IL_green,IL_blue,MA,MA_green,MA_blue,IE,IE_green,IE_blue,RO,RO_green,RO_blue,GT,GT_green,GT_blue,HN,HN_green,HN_blue,KW,KW_green,KW_blue,KE,KE_green,KE_blue,EE,EE_green,EE_blue,PW,PW_green,PW_blue,LV,LV_green,LV_blue,NZ,NZ_green,NZ_blue,CK,CK_green,CK_blue,PF,PF_green,PF_blue,SI,SI_green,SI_blue,TH,TH_green,TH_blue,HU,HU_green,HU_blue,UZ,UZ_green,UZ_blue,AM,AM_green,AM_blue,GA,GA_green,GA_blue,MR,MR_green,MR_blue,GH,GH_green,GH_blue,CG,CG_green,CG_blue,KZ,KZ_green,KZ_blue,IS,IS_green,IS_blue,SD,SD_green,SD_blue,PK,PK_green,PK_blue,IQ,IQ_green,IQ_blue,BH,BH_green,BH_blue,SY,SY_green,SY_blue,WS,WS_green,WS_blue,SR,SR_green,SR_blue,GY,GY_green,GY_blue,UA,UA_green,UA_blue,VE,VE_green,VE_blue,AZ,AZ_green,AZ_blue,PG,PG_green,PG_blue,AO,AO_green,AO_blue,MY,MY_green,MY_blue,TV,TV_green,TV_blue,BZ,BZ_green,BZ_blue,MG,MG_green,MG_blue,NI,NI_green,NI_blue,JO,JO_green,JO_blue,GQ,GQ_green,GQ_blue,BD,BD_green,BD_blue,KP,KP_green,KP_blue,TJ,TJ_green,TJ_blue,GU,GU_green,GU_blue,GB,GB_green,GB_blue,AI,AI_green,AI_blue,KM,KM_green,KM_blue,JM,JM_green,JM_blue,NE,NE_green,NE_blue,LT,LT_green,LT_blue,LI,LI_green,LI_blue,BB,BB_green,BB_blue,HT,HT_green,HT_blue,AW,AW_green,AW_blue,SH,SH_green,SH_blue,ER,ER_green,ER_blue,AF,AF_green,AF_blue,CV,CV_green,CV_blue,SB,SB_green,SB_blue,MK,MK_green,MK_blue,YT,YT_green,YT_blue,CM,CM_green,CM_blue,BF,BF_green,BF_blue,TW,TW_green,TW_blue,PY,PY_green,PY_blue,SO,SO_green,SO_blue,GP,GP_green,GP_blue,LU,LU_green,LU_blue,SN,SN_green,SN_blue,CF,CF_green,CF_blue,AL,AL_green,AL_blue,MD,MD_green,MD_blue,MM,MM_green,MM_blue,ML,ML_green,ML_blue,ZM,ZM_green,ZM_blue,GN,GN_green,GN_blue,BA,BA_green,BA_blue,GM,GM_green,GM_blue,FJ,FJ_green,FJ_blue,CZ,CZ_green,CZ_blue,BY,BY_green,BY_blue,BT,BT_green,BT_blue,KH,KH_green,KH_blue,UY,UY_green,UY_blue,MU,MU_green,MU_blue,HR,HR_green,HR_blue,MQ,MQ_green,MQ_blue,VC,VC_green,VC_blue,BN,BN_green,BN_blue,SK,SK_green,SK_blue,KI,KI_green,KI_blue,SZ,SZ_green,SZ_blue,MH,MH_green,MH_blue,TN,TN_green,TN_blue,GW,GW_green,GW_blue,SL,SL_green,SL_blue,RE,RE_green,RE_blue,AN,AN_green,AN_blue,LR,LR_green,LR_blue,FO,FO_green,FO_blue,DJ,DJ_green,DJ_blue,TT,TT_green,TT_blue,BI,BI_green,BI_blue,GD,GD_green,GD_blue,AG,AG_green,AG_blue,MW,MW_green,MW_blue,NC,NC_green,NC_blue,FM,FM_green,FM_blue,ST,ST_green,ST_blue,MT,MT_green,MT_blue,LC,LC_green,LC_blue,GF,GF_green,GF_blue,CY,CY_green,CY_blue,MV,MV_green,MV_blue,PS,PS_green,PS_blue,BM,BM_green,BM_blue,AD,AD_green,AD_blue,AS,AS_green,AS_blue,DM,DM_green,DM_blue,MC,MC_green,MC_blue,BW,BW_green,BW_blue,RW,RW_green,RW_blue,KY,KY_green,KY_blue,TC,TC_green,TC_blue,LA,LA_green,LA_blue,MP,MP_green,MP_blue,GI,GI_green,GI_blue,EH,EH_green,EH_blue,VU,VU_green,VU_blue,AQ,AQ_green,AQ_blue,PM,PM_green,PM_blue,MS,MS_green,MS_blue,FK,FK_green,FK_blue,NR,NR_green,NR_blue,KN,KN_green,KN_blue,SC,SC_green,SC_blue,CX,CX_green,CX_blue,checksum
ELECTRICITE DE FRANCE,83279750.0903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115581.645,2.5,89725.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115581.645
TOKYO ELECTRIC POWER CO,289069065.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87431.969,4.6,35708.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87431.969
ENEL SPA,599135776.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52383.135,2174.325,16136.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52383.135
KANSAI ELECTRIC POWER CO,64885133.6155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50683.736,450.15,20347.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50683.736
COMISION FEDERAL DE ELEC,671624355.786,,,,,,,,,,,,,,,,,,,,,,50678.793,2977.395,13890.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50678.793
HUANENG POWER INTERNATIONAL,1989206992.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50178.8,70.1,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50178.8
ROSENERGOATOM,103929.219484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46384.0,0.0,46351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46384.0
TAIWAN POWER CO,528626874.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45271.113,3153.32,13292.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45271.113
ESKOM,1466295345.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44541.871,1.98,3971.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44541.871
RAO UES ROSSII,364211197.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44261.76,1799.0,10838.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44261.76
