,CU,US,CA,AU,AR,BR,SV,IN,MX,ES,KR,PK,GB,KY,VN,NL,IT,DE,DK,NO,SG,BE,FI,CH,SE,GL,NG,JP,BS,PH,TM,IR,RU,PE,CL,EC,KE,TD,ZW,AT,SA,GE,ET,CI,FR,EG,PT,LB,SD,ZA,AE,LY,OM,QA,LK,GR,BO,VE,NP,HU,CZ,TR,PL,LV,NZ,YE,TJ,ID,ER,UG,DZ,RO,CN,MY,CR,LU,DO,BG,IL,MA,RW,GU,AM,DJ,IE,CY,RE,UA,CO,GT,CM,EE,PW,TL,MR,CK,PF,NR,SI,UZ,GA,GH,BJ,CD,KZ,KG,SY,SS,JO,WS,SR,IQ,BH,HT,MD,MM,MV,PA,NU,PG,MN,LT,TH,TV,NI,MG,BZ,MP,BD,GQ,KP,IS,KH,MZ,GY,NE,GF,JM,LI,RS,BB,AZ,HR,AL,UY,AW,SH,AF,CV,FM,SB,AS,GP,BY,HN,TN,KW,TZ,SK,MK,YT,GW,BF,PY,SC,MF,SN,CF,ML,MU,ZM,KM,GN,BA,GM,AO,BT,XK,MQ,VC,SO,BN,SZ,TW,KI,MH,ME,SL,ST,AN,MW,FO,EH,MS,FJ,LR,BI,MC,GD,NC,AQ,AI,MT,CG,TT,AG,AD,LC,LA,BM,TK,DM,TC,BW,KN,GS,GI,PS,LS,TG,TO,VU,WF,PM,FK,IM
CU,0.994929882387,1.87362537844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81350836014e-05,0.0,0.0,0.0,1.91586586186e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83347952785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423276447033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,0.00358607156887,0.993835254238,0.043672326778,0.000483809815334,0.00071798561787,8.58586488699e-06,0.0,0.0,0.0,1.5280480931e-05,0.0,2.93225091613e-05,0.000964098420121,0.0,0.0,0.00134850988384,0.00016574434607,0.000377812521319,0.0,0.0,0.0177348008834,1.14603202484e-05,0.0,0.0,0.0,0.0541801331554,0.0,0.000102148624889,0.0,0.00097855063646,0.0,0.0,7.38770912577e-06,0.000130638326642,0.000841293869374,0.0,0.0,0.0,0.0,0.0,2.28295829032e-05,0.0,5.81018447491e-05,0.0,0.000150370784944,0.0,0.0,6.46931955292e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.88800620358e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.80262385153e-06,9.61911158119e-05,0.0,0.0,0.0,0.0,0.00195506475071,0.0,0.0,0.0,0.0,0.0,0.0,0.0051675579601,0.0,0.0150687154271,0.0,0.0,0.0,0.0,0.0233748782537,0.0,0.0,0.0,0.0,0.0,0.0,0.000726670144328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112392588511,0.0,0.00183500269105,0.0,0.000568356691751,0.0,0.0,0.0,0.0,0.0,0.0,6.9177425247e-06,0.0,0.0,0.0,0.0,0.000449870227253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375268288841,0.0,0.253474550046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00282780034249,0.0,2.19056937744e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52602954939e-05,0.0,0.216805901076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00179903238226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0.0,0.00537224864878,0.956284944944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00938115909176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,0.0,2.69129843278e-05,0.0,0.991492042333,0.0,0.0,0.0,0.0,0.0,0.000311083714342,2.43364097136e-05,0.0,0.000629959395475,0.0,0.0,0.000214900431199,5.255069882e-05,0.000324740040872,0.0,0.00011250879872,0.0010158794538,0.0,0.0,0.0,0.0,0.0,0.0,0.000125415099837,0.0,0.0,0.0,0.0,0.0,0.000593810575645,0.0,0.0,0.0,0.0,0.0,0.000208620363093,0.0,0.0,0.0,0.0,0.000245517812469,0.0,0.0,0.0,0.0,1.88875459186e-05,0.0,0.0,0.0,0.0,0.0,0.00191038105214,0.0,0.0,0.0,0.0,1.96739112349e-05,0.0,0.0,0.0,3.58440563426e-05,0.0,0.0,7.94306776186e-05,0.0,0.0,0.0,0.0,3.57761361363e-07,0.000153742873257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00610659663786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000510875402321,0.0,0.00834092132296,0.0,0.00258343950796,0.0,0.0,0.0,0.0971053815051,0.0,0.0,0.00016776257232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0170576494928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00626648357614,2.22358720836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148881228527,0.0,0.0,0.0,0.0150536344041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000307407306076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00817741991934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,2.24411738021e-05,0.0,0.0,0.99532368197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000100554351455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157861191954,0.0,0.0,0.0,0.0,4.16106043507e-05,3.56943215831e-05,0.0,1.41204073409e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000703891563036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000163452721613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000252915666786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000554710033838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000189803434808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000210041708428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00154801756917,0.0,0.0,0.00311555898422,0.0,0.0,0.0,0.0,1.0096284652e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00301739686673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR,0.0,1.0340528299e-06,0.0,0.0,0.0,0.998026527484,0.0,4.75474229891e-07,0.000384371994897,0.000650612233399,0.0,0.0,0.0,0.0,0.0,0.0,2.31777612131e-05,0.0,0.0,0.0,0.0,0.000946442337816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52938995881e-05,0.0,0.0,0.0,0.0,0.00149408625654,0.0,0.0,0.0,0.0,0.0,7.95995142386e-06,0.0,7.55323981738e-05,0.0,0.0,0.0,0.00027188019451,8.4101154188e-05,0.0,0.000484432185476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.10323959637e-07,5.78957909831e-05,0.0,0.0,0.0,0.0,1.06771011177e-05,0.0,0.0,0.0,0.000289952900664,0.0,4.0243367632e-07,0.00125593450423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285000519627,0.0,0.0,0.00342328754916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00769129979831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222178152637,0.0,0.0,0.0,2.84774019067e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152376713174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0,9.89705935393e-07,0.0,0.99961319938,0.0,9.81839855504e-06,3.35882887884e-05,0.0,2.28484230773e-05,0.0,0.0,0.0,9.89524783078e-05,0.000139993081792,0.0,0.0,0.0,0.0,0.0,0.0,1.90847598526e-06,0.0,0.0,9.38215643773e-05,0.0,0.000157953354539,0.0,0.0,0.0,0.0,0.00174709012489,0.0,8.15958205968e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94740593002e-07,0.0,0.0,0.0,0.0,0.000161362405426,0.0,0.0,0.0,0.0,0.0,6.96965794288e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47841257427e-05,0.0,0.0,0.0,0.0,0.0,1.85558509663e-05,0.0,0.0,0.0,5.47491159899e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MX,0.0,0.0,0.0,0.0,0.0,0.000191414458391,0.0,0.0,0.960883532455,0.0201130859536,0.0,0.0,2.80372015678e-05,0.0,0.0,0.0,0.00018598011437,1.03483091585e-06,0.0,0.0,0.0,0.0,0.0,1.52122644581e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00520156568657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160802763419,0.0,0.00452041497721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136746983064,0.0,0.0,0.000203228626765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000214703789636,0.0,0.0,0.00448622732983,0.0,0.0,0.00100091049626,9.89948864304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00548320819647,0.0,0.0,0.0128026361393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274735021938,0.0,0.0,0.0,0.0,0.0,0.0,0.00108149449568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00342640096007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00178648550332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,1.37202634563e-06,0.0,0.000502129248983,0.0,0.000485052754177,0.0,3.51664246483e-06,0.0301108113739,0.953381331964,6.58866483773e-06,0.000462740984468,0.00115021424236,0.0,0.0,0.0034588362872,0.00350208391273,0.00208401344005,0.000338140918185,0.00082123304969,1.58943555356e-06,0.00196878505474,0.0,6.49398192148e-05,0.000173183602043,0.0,0.0,0.00107330523506,0.0,0.0,0.0,0.0,0.0,0.0,0.000840907650809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00152480252115,0.0,0.0156941740905,0.0,0.0,0.000587233161149,0.000381530015075,0.0,0.0,0.0,0.0,0.00173276122691,0.0,0.0,0.0,0.0225876397777,0.00030423788211,8.59853346038e-05,0.00933765942229,0.0,0.0,0.0,0.0,0.000290198183954,0.0,0.0,0.0,0.00367836296027,0.0,0.0,0.0,5.86826806682e-06,0.00036320186322,0.00148104252742,7.91516989262e-06,0.0,0.0,0.0,0.0,0.0,0.000377456229056,0.0,0.00143283905237,0.000108098705146,6.94930400358e-05,0.00747680520549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74299499157e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82206638423e-05,0.0,0.014073269735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00796594638791,0.0,0.0,0.0,0.0,0.0,0.0250113108494,0.0,0.0,0.0,0.00106435608148,0.0,0.0,0.0,0.0,0.0,2.60375361694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000694996040935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408107166109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
