,MX,AR,BR,AU,ES,KR,PK,GB,KY,CU,SV,IN,VN,DE,NL,IT,DK,NO,SG,BE,FI,CH,GL,NG,JP,BS,PH,TM,IR,RU,PE,CL,EC,KE,TD,SE,ZW,AT,SA,GE,ET,CI,FR,EG,PT,LB,SD,ZA,AE,LY,OM,QA,LK,GR,BO,VE,NP,HU,CZ,TR,PL,LV,NZ,YE,TJ,ID,ER,UG,DZ,RO,CN,MY,CR,LU,DO,BG,IL,MA,RW,GU,AM,DJ,MM,IE,CY,RE,UA,CO,GT,CM,EE,PW,TL,MR,CK,PF,NR,SI,UZ,LT,GA,GH,BJ,CD,KZ,KG,SY,SS,JO,BD,WS,SR,IQ,BH,HT,MD,MV,PA,NU,PG,MN,TH,TV,NI,MG,BZ,MP,GQ,KP,IS,KH,MZ,GY,NE,KI,GF,JM,SN,UY,AO,LI,RS,BB,AZ,HR,AL,AW,SH,FM,AF,CV,SB,AS,HN,GP,BY,TN,KW,TZ,SK,MK,YT,GW,BF,PY,SC,MF,CF,ML,MU,ZM,KM,GN,BA,GM,BT,XK,MQ,VC,SO,BN,SZ,TW,MH,ME,SL,ST,AN,MW,FO,EH,MS,FJ,LR,BI,MC,GD,NC,AQ,AI,MT,CG,TT,AG,AD,LC,LA,BM,TK,DM,TC,BW,KN,GS,GI,PS,LS,TG,TO,VU,WF,PM,FK,IM,US,CA
MX,0.960200949169,0.0,0.00021837869937,0.0,0.0200308978098,0.0,0.0,1.25539915558e-05,0.0,0.0,0.0,0.0,0.0,1.03295792958e-06,0.0,0.000204234889329,0.0,0.0,0.0,0.0,0.0,1.52145372143e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00608322538271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00161199448325,0.0,0.00452041497721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142640803544,0.0,0.0,0.000202786410551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000224895905165,0.0,0.0,0.00525213624356,0.0,0.0,0.00100039033767,9.35800840243e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00548320819647,0.0,0.0,0.0148491791429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0320652680606,0.0,0.0,0.0,0.0,0.0,0.0011281071102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00534737999713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122218553411,0.00445007036169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221158956526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.995327250677,0.0,0.0,0.0,0.0,0.0,9.96321504156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157711850258,0.0,0.0,0.0,0.0,4.16027393055e-05,3.56853715522e-05,0.0,1.41040082274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00070562799562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000162475837194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000252883439554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00054130557104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000186122634068,0.00148326735836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000209962220892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385692339884,0.0,0.0,0.0,0.0,1.0096284652e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00301739686673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24141773643e-05,0.0
BR,0.000435286635,0.0,0.998034926202,0.0,0.000647431856676,0.0,0.0,0.0,0.0,0.0,0.0,8.12706094909e-07,0.0,0.0,0.0,2.09799608513e-05,0.0,0.0,0.0,0.0009458941843,0.0,0.0,0.0,0.0,0.0,0.0,7.35318681284e-05,0.0,0.0,0.0,0.0,0.00135253070568,0.0,0.0,0.0,0.0,0.0,0.0,7.93926473818e-06,0.0,7.46378129115e-05,0.0,0.0,0.0,0.00027188019451,8.39091882206e-05,0.0,0.000474962828974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06696520455e-07,5.77698123849e-05,0.0,0.0,0.0,0.0,1.06132888201e-05,0.0,0.0,0.0,0.000291167751472,0.0,3.51286402144e-07,0.00113859487879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285000519627,0.0,0.0,0.00308976836781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00695133338282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115924248674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288555958157,0.0,0.0,2.84774019067e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188635591063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03280887791e-06,0.0
AU,0.0,0.0,0.0,0.991569144567,0.000309563049108,2.45337532013e-05,0.0,0.000624181930842,0.0,0.0,0.0,0.0,0.0,0.0003241522795,0.000214353556147,5.24637904474e-05,0.0,0.000112546989433,0.00101626458093,0.0,0.0,0.0,0.0,0.0,0.000124976632257,0.0,0.0,0.0,0.0,0.0,0.000492794026396,0.0,0.0,0.0,0.0,0.0,0.0,0.000208479089008,0.0,0.0,0.0,0.0,0.000246123481228,0.0,0.0,0.0,0.0,1.85327773739e-05,0.0,0.0,0.0,0.0,0.0,0.00191038105214,0.0,0.0,0.0,0.0,1.9661031412e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.89559556894e-05,0.0,0.0,0.0,0.0,3.57421080979e-07,0.000150418069822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236047385366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00610659663786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000434197419627,0.0,0.00710414467355,0.0,0.0,0.0,0.0,0.0971053815051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00613873135838,0.0142527869628,0.00361666205068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062297041857,2.2062565689e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148881228527,0.0,0.0,0.0,0.0127529378693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000307407306076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100699658542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47860599802e-05,0.0
ES,0.0297203343343,0.0,0.000481928136407,0.000503398314899,0.953143947112,6.64209219673e-06,0.000455433336194,0.00176243592638,0.0,0.0,0.0,3.39262823458e-06,0.0,0.00213837926095,0.000959957129758,0.0034996853003,0.000343459448563,0.000821511814337,1.59003811989e-06,0.00196764478829,0.0,6.49495214113e-05,0.0,0.0,0.00106955281969,0.0,0.0,0.0,0.0,0.0,0.0,0.000839931040167,0.0,0.0,0.0,0.000164627017799,0.0,0.0,0.0,0.0,0.0,0.0,0.00160065515121,0.0,0.017345943769,0.0,0.0,0.000576203043478,0.000381530015075,0.0,0.0,0.0,0.0,0.00173276122691,0.0,0.0,0.0,0.0224383136029,0.00030403870819,8.55750117207e-05,0.00927155719491,0.0,0.0,0.0,0.0,0.000288560798042,0.0,0.0,0.0,0.00367023099776,0.0,0.0,0.0,5.86826806682e-06,0.000546925967352,0.00148098618494,7.48222752029e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000384924157072,0.0,0.00143283905237,0.000108098705146,6.78137538988e-05,0.00738051661228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72573261369e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78877074742e-05,0.0,0.0139551717466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00899069572074,0.0,0.0,0.0,0.0,0.0,0.0250113108494,0.0,0.0,0.0,0.00138234243677,0.0,0.0,0.0,0.0,2.58345996036e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000860374175538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405319701175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37037581593e-06,0.0
KR,0.0,0.0,0.0,3.95997357589e-05,6.592809906e-06,0.985870464248,0.0,1.92260957373e-06,0.0,0.0,0.0,1.1670374465e-05,0.0,0.0,0.0,0.0,0.0,1.59442553827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000723431740187,0.0,0.000124976673353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000991516328429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71585038277e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK,0.0,0.0,0.0,0.0,0.000120769060897,0.0,0.969332333772,0.00518082730248,0.0,0.0,0.0,0.0,0.0,0.000102727605374,0.0,2.27152505194e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.40347997831e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115320211967,0.0,0.0,0.0,0.0,0.0,0.00388650258579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89451282243e-07,0.0
GB,1.72979798851e-05,0.000266902100437,0.0,0.00094261449613,0.00163671709073,1.79881179559e-06,0.018143811412,0.939014755837,0.0,0.000288182932952,0.0,7.30026998383e-06,0.0,0.00492436918143,0.0740680015409,0.000689586943481,0.0104984799856,0.00246160936182,8.67293519941e-07,0.00564789742854,0.00356783088823,2.64985583963e-05,0.00395805606437,3.6555726881e-05,9.6300837389e-05,0.0,0.000442675706009,0.0,9.64301904432e-06,1.62765729646e-05,0.0,0.0,0.0,0.0,0.0,0.00330583012496,0.0,0.0,0.0,0.0,0.0,0.0,0.00176062469502,0.0,0.000493731790267,0.0,0.0,0.0,7.49941610616e-05,0.0,0.0,0.0,2.04362308097e-05,0.0,0.0,0.0,0.0,0.000127700854408,0.000124324367955,0.00352658245922,0.000171524624834,0.0,0.0,0.0,0.0,0.0115169932718,0.0,0.0,0.0,7.05340610399e-06,1.49724363092e-05,0.0,0.0,1.15347632733e-06,0.00163370387494,0.00484482625718,0.0,0.0,0.0,0.00179782739941,0.0,0.0,0.0,0.0516043663861,0.0,0.0,1.62148057718e-06,0.000347134684038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322020955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000343803692336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636527121942,0.0,0.0,0.0,0.0,0.0,0.000199600056871,0.0,0.0,0.00385535544601,0.0,0.0,7.08513332211e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397810983878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000893988867281,0.0,0.0,0.0,0.0,1.9396735327e-05,0.0,0.0,0.0,0.0,0.000607979551762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000699396624739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336531721501,7.99486452209e-05,0.0
KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79687636689e-05,0.0,0.994929882387,0.0,0.0,0.0,0.0,0.0,1.91269740192e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8270694438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00405110440667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87137143168e-05,0.0
