,CU,AU,AR,BR,SV,IN,GB,MX,TH,ES,KR,PK,KY,VN,NL,IT,DE,NO,SG,BE,FI,CH,SE,DK,GL,NG,JP,BS,PH,TM,IR,RU,PE,CL,EC,KE,TD,ZW,AT,SA,GE,ET,CI,FR,EG,PT,LB,SD,ZA,AE,LY,OM,QA,LK,GR,BO,VE,NP,IE,HU,CZ,GH,TR,PL,LV,NZ,YE,TJ,ID,ER,UG,DZ,RO,CN,MY,CR,LU,DO,BG,IL,MA,RW,GU,AM,DJ,MM,CY,RE,UA,CO,HN,GT,CM,EE,PW,TL,MR,CK,PF,NR,SI,UZ,LT,GA,BJ,CD,KZ,KG,SY,SS,JO,BD,WS,SR,IQ,BH,HT,MD,MV,PA,NU,PG,MN,TV,NI,MG,BZ,MP,GQ,KP,IS,KH,MZ,GY,NE,KI,GF,JM,SN,UY,AO,LI,RS,BB,AZ,HR,AL,AW,SH,FM,AF,CV,SB,AS,GP,BY,TN,KW,TZ,SK,MK,YT,GW,BF,PY,SC,MF,CF,ML,MU,ZM,KM,GN,BA,GM,BT,XK,MQ,VC,BN,SO,SZ,TW,MH,AG,ME,SL,ST,AN,MW,FO,EH,MS,FJ,LR,BI,MC,GD,NC,AQ,AI,MT,CG,TT,AD,LC,LA,BM,TK,DM,TC,BW,KN,GS,GI,PS,LS,TG,TO,VU,FK,WF,PM,US,IM,CA
CU,0.994919553525,0.0,0.0,0.0,0.0,0.0,1.81806422584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88530230949e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78791758866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00461271100484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88927896953e-05,0.0,0.0
AU,0.0,0.990855963869,0.0,1.34300295201e-08,0.0,5.62480723237e-07,0.000759654630978,0.0,0.0,0.000437160707065,2.40008065068e-05,0.0,0.0,0.0,0.000235627167288,0.000119740635751,0.000324845044423,0.000104794634895,0.00101626458093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000133191545815,0.0,0.0,0.0,0.0,0.0,0.0004601627793,2.42613068223e-05,0.0,0.0,0.0,0.0,0.000203569205051,0.0,0.0,0.0,0.0,0.000248180194549,0.000133259397821,0.0,0.0,0.0,2.22173785926e-05,0.0,0.0,0.0,0.0,0.0,0.00190975878071,0.0,0.0,0.0,0.0,0.0,1.95888220098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73647450479e-05,0.0,0.0,0.0,0.0,3.43350964347e-07,0.000143972856516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209868841755,0.0,0.0,0.0,0.0,4.63052407498e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00610659663786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000410092710388,0.0,0.00660423890063,0.0,0.0,0.0,0.0,0.0971053815051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00537197590255,0.0176254185476,0.00332147940237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054900417465,2.14309078526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148881228527,0.0,0.0,0.0,0.00877925619264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000307407306076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00954389014569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48274162207e-05,0.0,0.0
AR,0.0,0.0,0.995409443595,0.0,0.0,0.0,0.00010216143504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000156952646471,0.0,0.0,0.0,0.0,4.19924520547e-05,3.52233884672e-05,0.0,1.40167163106e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000711524525652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000159201438463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000250337452144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000532692929619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166019071507,0.00143729409082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000209962220892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385692339884,0.0,0.0,0.0,0.0,1.0096284652e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00301739686673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24515760517e-05,0.0,0.0
BR,0.0,2.96828713612e-08,0.0,0.997973604745,0.0,6.18728795561e-07,0.000317503290039,4.93914570496e-05,0.0,0.000621287716378,0.0,0.0,0.0,0.0,0.0,2.84475208779e-05,0.0,0.0,0.0,0.000975955809704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06801476224e-05,0.0,0.0,0.0,0.0,0.00188407243509,0.0,0.0,0.0,0.0,0.0,7.38168470077e-06,0.0,6.95064368623e-05,0.0,0.0,0.0,9.44997103692e-05,8.39091882206e-05,0.0,0.000463946503934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95395365701e-07,5.7146243352e-05,0.0,0.0,0.0,0.0,1.0399397696e-05,0.0,0.0,0.0,0.0,0.0,2.6694780251e-07,0.0014976588587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0290943635141,0.0,0.0,5.09357648248e-05,0.00419405852342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00931047488221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00140359445522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028808932461,0.0,0.0,2.67956507424e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188635591063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03453214867e-06,0.0,0.0
SV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,2.71787163954e-06,0.0,1.35267257326e-06,0.0,0.999446659855,4.22730528735e-05,0.0,0.0,9.72796869133e-06,3.31694366947e-05,0.0,0.0,0.0,0.0,9.96109860049e-05,0.000133624237887,0.0,0.0,0.0,0.0,0.0,1.93806226131e-06,0.0,0.0,0.0,9.37629031753e-05,0.0,0.000148274514633,0.0,0.0,0.0,0.0,0.00244359882314,0.0,7.77835061009e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042074640301,0.0,0.0,0.0,0.0,0.0,7.01884995114e-06,0.0,0.0,0.0,0.0,0.000545042299878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4139509152e-05,0.0,0.0,0.0,0.0,0.0,2.44427115171e-05,0.0,0.0,0.0,5.50857630721e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00466386384832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42424788436e-05,0.0,0.0
GB,0.000284458427291,0.00110505479013,0.000262207334909,0.000208971427291,0.0,1.27265279615e-05,0.939781332396,1.704389151e-05,0.0,0.00162724567133,1.7387788642e-06,0.018108815954,0.0,0.0,0.0633579687874,0.000700643896189,0.00538611609056,0.00278794022698,8.67293519941e-07,0.00616697051303,0.00359643815202,2.6978612114e-05,0.00369141133351,0.00947652041611,0.00395805606437,3.63797524933e-05,0.000102109507299,0.0,0.000425507811048,0.0,9.733349814e-06,1.60658563302e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.65902149766e-05,0.0,0.0,0.0,0.0,0.00186807777097,0.0,0.000493558812932,0.0,0.0,0.0,7.69328997179e-05,0.0,0.0,0.0,2.04161144391e-05,0.0,0.0,0.0,0.0,0.0566923328175,0.000183957439534,0.000192889274963,0.0,0.00339537431832,0.000246269867615,0.0,0.0,0.0,0.0,0.0112848904361,0.0,0.0,0.0,6.8376203226e-06,1.68061615288e-05,0.0,0.0,1.18290674902e-06,0.0015797579973,0.00484103182161,0.0,0.0,0.0,0.00204706109682,0.0,0.0,0.0,0.0,0.0,1.56833001898e-06,0.000328493973265,0.000180215470098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35106903418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333147636945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636527121942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385535544601,0.0,0.0,7.16887061553e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397810983878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000893988867281,0.0,0.0,0.0,0.0,1.9396735327e-05,0.0,0.0,0.0,0.0,0.0,0.000589375947989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000699396624739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01476561487e-05,0.0336531721501,0.0
MX,0.0,0.0,0.0,2.45522370727e-05,0.0,0.0,1.28726900651e-05,0.963485806475,0.0,0.0208189738593,0.0,0.0,0.0,0.0,0.0,0.000139095336887,1.03516552479e-06,0.0,0.0,0.0,0.0,1.54901671201e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162217435191,0.0,0.00427938579619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00183978098145,0.0,0.0,0.0,0.000453779862747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029142488191,0.0,0.0,0.0,0.0,0.0,0.000947056772486,8.83293498357e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00530288778907,0.0,0.0,0.0110349036984,0.000773115423344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014618161681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00420899577044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209516882978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.529653044e-05
TH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99758482456,5.9312338175e-06,0.0,0.0,0.0,0.0,0.0,2.51533695218e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13489908739e-05,0.0,1.32287140575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53208468038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43450375319e-05,0.0,0.0,3.86895600338e-05,0.0,0.0,0.000849846270369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000742937742209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70361475153e-07,0.0,0.0
ES,0.0,0.000710431574865,0.0,0.000456819842808,0.0,3.27176423901e-06,0.00181788597352,0.030794437948,1.32250429614e-05,0.951751429011,6.19123759533e-06,0.000454554904543,0.0,0.0,0.00106285801589,0.0033354068192,0.00210013282498,0.00074677221876,1.59003811989e-06,0.00203066223559,2.37296813728e-05,6.61261612401e-05,0.000169015499525,0.0006675991136,0.0,0.0,0.00115147461816,0.0,0.0,0.0,0.0,0.0,0.0,0.000834732575359,0.0,0.0,0.0,0.0,0.00110601433177,0.0,0.0,0.0,0.0,0.00163446585706,0.0,0.0173611562301,0.0,0.0,0.000560881833289,0.000391393276138,0.0,0.0,0.0,0.0,0.00174361029732,0.0,0.0,0.0,0.000345395835698,0.0221384413718,0.00030292206009,0.0,8.42065368203e-05,0.0100967622393,0.0,0.0,0.0,0.0,0.000282749324111,0.0,0.0,0.0,0.00367122835018,0.0,0.0,0.0,6.01799424645e-06,0.000398399692419,0.00147690597658,3.44968715726e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00144442869403,0.000104555334599,0.0,0.0,0.00729826033262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87351364002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137996405596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00789483774382,0.0,0.0,0.0,0.0,0.0,0.00972172801908,0.0,0.0,0.0,0.0,0.0,0.0250113108494,0.0,0.0,0.00136559042434,0.0,0.0,0.0,0.0,2.50949473112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000853148060921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392917298659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37266232665e-06,0.0,0.0
