,AR,BR,SV,IN,AU,GB,MX,CU,ES,KR,PK,KY,VN,DE,DK,NL,NO,IT,PE,ID,GA,AT,MG,GR,TH,SG,BE,FI,CH,SE,GL,NG,JP,BS,PH,TM,IR,RU,CL,EC,ZA,KE,TD,ZW,SA,GE,ET,CI,FR,EG,PT,LB,SD,AE,LY,OM,QA,LK,BO,VE,NP,IE,HU,CZ,GH,TR,PL,LV,NZ,YE,TJ,ER,UG,DZ,RO,CN,MY,CR,LU,DO,BG,IL,MA,RW,GU,AM,DJ,MM,CY,RE,UA,CO,HN,GT,CM,EE,PW,TL,MR,CK,PF,NR,SI,UZ,LT,BJ,CD,KZ,KG,SY,SS,JO,BD,WS,SR,IQ,BH,HT,MD,MV,PA,NU,PG,MN,UY,TV,NI,BZ,MP,GI,GQ,KP,IS,KH,MZ,GY,NE,KI,GF,JM,SN,AO,LI,RS,BB,AZ,HR,VC,AL,AW,SH,FM,AF,CV,SB,AS,GP,BY,TN,KW,TZ,SK,MK,YT,GW,BF,PY,SC,MF,CF,ML,MU,ZM,KM,GN,BA,GM,BT,XK,MQ,BN,SO,SZ,TW,MH,AG,ME,SL,ST,AN,MW,FO,EH,MS,FJ,LR,BI,MC,GD,NC,AQ,AI,MT,CG,TT,AD,LC,LA,BM,TK,TO,DM,TC,BW,KN,GS,PS,LS,TG,VU,FK,WF,PM,US,IM,CA
AR,0.994761084144,0.0,0.0,0.0,5.03737701576e-05,0.000102397743688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105236350463,0.000155103832577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155063328164,0.0,0.0,0.0,0.0,4.19695895734e-05,3.51052024881e-05,1.36385266739e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000701736783159,3.08533556617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000250337452144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047711737135,0.0,0.0,0.0,0.000527288252153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68435518484e-05,0.0,0.00151034814364,0.0,0.0,0.0,0.0,0.0,0.0,0.00289513947263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116610362519,0.00207135820322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000192777474277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385692339884,0.0,0.0,0.0,1.00948986857e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00301739686673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218262800325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28310356289e-05,0.0,0.0
BR,0.0,0.997867435985,0.0,5.70861672923e-07,2.82285493395e-08,0.000318237703891,4.92475515578e-05,0.0,0.000734537913053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51172727214e-05,0.0,1.01317328205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00121372425328,0.0,0.0,0.0,0.0,0.0,7.00171884596e-08,0.0,7.04571909259e-05,0.0,0.0,0.0,0.00232391490863,0.0,0.000559019987606,0.0,0.0,0.0,7.05013027199e-06,0.0,6.69941435483e-05,0.0,0.0,0.0,9.3682755745e-05,8.39091882206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8294792255e-07,5.65417804966e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5211988409e-07,0.00121325555345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287348389753,0.0,0.0,6.3002928036e-05,0.00331127415027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070640716236,0.0,0.0,0.0,0.0011381065289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028808932461,0.0,0.0,2.44269819573e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188635591063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03416875589e-06,0.0,0.0
SV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,1.25244322688e-06,0.0,0.999443765482,3.75323692446e-05,3.31170194949e-05,0.0,0.0,1.03412204802e-05,3.30538896704e-05,0.0,0.0,0.0,0.000162256923781,0.0,0.0,0.0,0.000107115505509,0.0,2.35181944469e-05,0.0,0.0,0.0,7.37294702479e-06,0.0,0.0,0.0,0.0,0.0,1.92482991162e-06,0.0,0.0,9.94086951801e-05,0.0,0.000147806790709,0.0,0.0,0.0,0.00275517696246,0.0,0.000397019878196,7.70097859929e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126832868889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30850133868e-05,0.0,0.0,0.0,5.83267230656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00576877719253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68396818717e-06,0.0,0.0
AU,8.79294129912e-05,1.24349009818e-08,0.0,7.53585595811e-06,0.989472148507,0.000777771810821,0.0,0.0,0.000434640097027,2.4038466656e-05,0.0,0.0,0.0,0.00039825713358,0.0,0.000233982140831,0.000102688576443,0.000129205136255,0.000673512642964,7.53734927216e-05,0.00610659663786,0.000207370100929,0.0,0.00189373965531,0.0,0.00123289721937,0.0,0.0,0.0,0.0,0.0,0.0,0.000135478839953,0.0,0.0,0.0,0.0,0.0,2.23461374541e-05,0.0,2.1924773322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000244756610639,0.000197461476235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87246440881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48436485655e-05,0.000143633312477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00305355117664,0.0,0.0,0.0,0.0,5.72753891236e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00055579873183,0.0,0.00966622811931,0.0,0.0,0.0,0.0,0.0950901617005,0.0,0.0230017973301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00746306320123,0.00458365166436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054900417465,2.14305242554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148881228527,0.0,0.0,0.0,0.00877393048217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000309056537019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139688192208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7297709562e-05,0.0,0.0
GB,0.000260615278627,0.000204402014293,0.0,9.69521892239e-06,0.00113404938322,0.955479681073,1.69942329306e-05,0.000284174807136,0.00130468832583,1.64738389392e-06,7.60787156931e-05,0.0,0.0,0.00505723188021,0.00941401235015,0.0630453659079,0.00272877347259,0.000731932348891,0.0,7.18768722554e-05,0.0,1.68999753831e-05,0.0,0.0,0.0,8.67293519941e-07,0.00636863355936,0.00353645703447,2.68452303114e-05,0.00376249292148,0.00395805606437,3.59418310314e-05,0.000103707437696,0.0,0.00042416556971,0.0,9.72805056337e-06,1.6011950132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00186632035835,0.0,0.000490036690233,0.0,0.0,7.69221038207e-05,0.0,0.0,0.0,2.03239590685e-05,0.0,0.0,0.0,0.0545302722081,0.00018354691973,0.000184379796819,0.0,4.63389836739e-05,0.0002436649547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86732907931e-06,1.7132477212e-05,0.0,0.0,1.18290674902e-06,0.0015797579973,0.00483880597995,0.0,0.0,0.0,0.00206834636927,0.0,0.0,0.0,0.0,0.0,1.5675165584e-06,0.000325161088828,0.000168326952104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25106183916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000314110543531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636527121942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00353980674316,0.0,0.0,7.16874229812e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397810983878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000893988867281,0.0,0.0,0.0,1.83620100694e-05,0.0,0.0,0.0,0.0,0.0,0.000587469984907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000699396624739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01125638548e-05,0.0337098979018,0.0
MX,0.0,2.40153727145e-05,0.0,0.0,0.0,1.29024657625e-05,0.963560860651,0.0,0.0210342629999,0.0,0.0,0.0,0.0,1.02993605116e-06,0.0,0.0,0.0,3.44985514998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54135839955e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00169869727224,0.0,0.00390295902852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00191106363461,0.0,0.0,0.0,0.000425054086824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000304711458094,0.0,0.0,0.0,0.0,0.0,0.000896165059251,8.31835806184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049582626343,0.0,0.0,0.0103069492608,0.000776594715771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398470038804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00198351827951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50696524935e-05
CU,0.0,0.0,0.0,0.0,0.0,1.82076082688e-05,0.0,0.994919882753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03263545049e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78340874256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00466067381876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8870516589e-05,0.0,0.0
ES,0.0,0.000526439460987,0.0,3.37814941227e-06,0.000707147869151,0.00145581924606,0.0309141159248,0.0,0.952822653105,6.08633395909e-06,0.000908058231781,0.0,0.0,0.00204859864819,0.000750896497999,0.00105587923958,0.00072662693996,0.00220639623278,0.0,0.000545713375823,0.0,0.00112666502554,0.0,0.00173168070894,1.27884056419e-05,1.59003811989e-06,0.00197229033012,2.37600695599e-05,6.5799234616e-05,0.000167861526179,0.0,0.0,0.00117356157763,0.0,0.0,0.0,0.0,0.0,0.000812210380971,0.0,0.000504311886955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162987117312,0.0,0.0171998697088,0.0,0.0,0.000391338352411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000339894419885,0.0228007077948,0.000289558389922,0.0,0.000163873743517,0.0101314296789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375210357144,0.0,0.0,0.0,6.01799424645e-06,0.000398399692419,0.00149480980351,3.40252497205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00140925639319,0.000104501103893,0.0,0.0,0.00733110508145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36473074168e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00782338390021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00962214391436,0.0,0.0,0.0,0.0,0.0,0.0,0.0250113108494,0.0,0.0,0.00135166864199,0.0,0.0,0.0,0.0,2.50944981305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000846218026767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391646656605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37218016128e-06,0.0,0.0
KR,0.0,0.0,0.0,1.08892506786e-05,3.94416955082e-05,1.85380420042e-06,0.0,0.0,6.13796128271e-06,0.986062863111,0.0,0.0,0.0,0.0,0.0,0.0,1.41026888433e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000777597207723,0.0,0.000119750872102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000947827336013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62431777693e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
