,BR,SV,SY,IN,AU,CU,AR,GB,MX,TH,ES,KR,PK,KY,VN,NL,IT,DE,DK,NO,SG,BE,CH,SE,GL,NG,JP,BS,PH,FI,TM,IR,RU,PE,CL,EC,ZA,KE,TD,ZW,AT,SA,GE,ET,CI,FR,EG,PT,LB,SD,AE,LY,OM,QA,LK,HN,GR,BO,VE,NP,IE,HU,CZ,GH,TR,PL,LV,NZ,YE,TJ,ID,ER,UG,DZ,RO,CN,MY,CR,LU,DO,BG,AF,IL,MA,RW,GU,AM,DJ,MM,CY,RE,UA,CO,GT,CM,EE,PW,TL,MR,CK,PF,NR,SI,UZ,LT,GA,BJ,CD,KZ,KG,SS,JO,BD,WS,SR,IQ,BH,HT,MD,MV,PA,NU,PG,MN,UY,TV,NI,MG,BZ,MP,GI,GQ,KP,IS,KH,MZ,GY,NE,KI,GF,JM,SN,AO,LI,RS,BB,AZ,HR,VC,AL,AW,SH,FM,CV,SB,AS,GP,BY,TN,KW,TZ,SK,MK,YT,GW,BF,PY,SC,MF,CF,ML,MU,ZM,KM,GN,BA,GM,BQ,BT,XK,MQ,BN,SO,SZ,TW,MH,AG,ME,SL,ST,MW,FO,EH,MS,FJ,LR,BI,MC,GD,NC,AQ,AI,MT,CG,TT,AD,LC,LA,BM,TK,TO,DM,TC,BW,KN,GS,PS,LS,TG,VU,FK,WF,PM,US,IM,CA
BR,0.99682192721,0.0,0.0,2.86378929763e-07,1.43285657593e-08,0.0,0.0,0.000746798228132,4.81577475726e-05,0.0,0.00145909509764,0.0,0.0,0.0,0.0,0.0,2.38173245257e-05,0.0,0.0,0.0,0.0,0.00116219374762,0.0,0.0,0.0,0.0,0.0,0.0,6.80311133123e-05,0.0,0.0,0.0,0.0,0.0,0.00241245616049,0.0,0.000510919382151,0.0,0.0,0.0,0.0,6.9938914211e-06,0.0,5.29572203296e-05,0.0,0.0,0.0,0.000862687556299,8.24635960891e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.17920417389e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166318680142,0.000519183627398,0.0,0.0,0.0,0.0,9.93356756857e-06,0.0,0.0,0.0,0.0,0.0,1.28343741515e-07,0.00103943308879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287348389753,0.0,0.0,0.00310472735298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00670617112988,0.0,0.0,0.0,0.00106253974225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028808932461,0.0,0.0,2.44138387019e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188635591063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44156623527e-06,0.0,7.4002404092e-07
SV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SY,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,6.25786086479e-07,0.0,0.0,0.99929335845,3.63377706129e-05,0.0,0.0,3.34932753601e-05,0.0,0.000660385216281,1.03209281686e-05,3.29354950509e-05,0.0,0.0,0.0,0.0,0.000106609545713,0.000160068903448,0.0,0.0,0.0,0.0,0.0,1.91732388121e-06,0.0,0.0,9.23370095556e-05,0.0,0.000577280270411,0.0,0.0,0.0,0.0,0.0,0.00137803914996,0.0,0.000197245310117,7.36157749772e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019953585854,7.37278105989e-06,0.0,0.0,0.0,0.0,0.000126824395189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30582051232e-05,0.0,0.0,0.0,0.0,0.0,1.17516196776e-05,0.0,0.0,0.0,5.80755117609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99743930365e-05,0.0,6.77592921832e-05
AU,6.21312635503e-09,0.0,0.0,7.21075770194e-06,0.989459402098,0.0,8.80253742365e-05,0.000786611791626,0.0,0.0,0.000433372094088,2.39515137672e-05,0.0,0.0,0.0,0.000233906845166,0.000129037277363,0.000392759427272,0.0,0.000102401647574,0.00123289721937,0.0,0.0,0.0,0.0,0.0,0.000135023332737,0.0,0.0,0.0,0.0,0.0,0.0,0.000616606757429,1.12648552868e-05,0.0,1.95988670816e-05,0.0,0.0,0.0,0.00020840817183,0.0,0.0,0.0,0.0,0.00025570474879,0.000197461476235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98109470354e-05,0.00189369702726,0.0,0.0,0.0,0.0,0.0,1.87193920156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28550445081e-05,0.0,0.0,0.0,0.0,1.47186399429e-05,0.000151101725701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00305355117664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00639658603086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000523752826853,0.0,0.00966622811931,0.0,0.0,0.0,0.0,0.0950901617005,0.0,0.0226172063483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00746306320123,0.00424932119252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00545152429938,2.14305242554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148881228527,0.0,0.0,0.0,0.00877393048217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000308606519981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139688192208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75654568762e-05,0.0,6.72749128109e-07
CU,0.0,0.0,0.0,0.0,0.0,0.994919882753,0.0,1.84144722773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02999472006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77502135676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00466067381876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87970507578e-05,0.0,0.0
AR,0.0,0.0,0.0,0.0,5.0486393571e-05,0.0,0.994755366684,0.000103561125907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000154387640592,0.0,0.0,0.0,0.0,0.0,4.18389302433e-05,3.51003629933e-05,9.63448058482e-05,1.35752032318e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000700676932932,3.08533556617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000152070176775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000251508319327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047711737135,0.0,0.0,0.0,0.000527288252153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18363791958e-05,0.0,0.00151034814364,0.0,0.0,0.0,0.0,0.0,0.0,0.00284673262353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116610362519,0.00192027382418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000192777474277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385692339884,0.0,0.0,0.0,1.00801995097e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00298523092138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218262800325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27421508863e-05,0.0,0.0
GB,0.000467901058397,0.0,0.0,9.60336703025e-06,0.0011365897532,0.000284174807136,0.000260899699572,0.953156031492,1.66181658534e-05,0.0,0.00146460358171,1.64086610207e-06,7.51041958716e-05,0.0,0.0,0.0619291374229,0.000939098600396,0.0053571100325,0.0094226722349,0.00272610877585,8.67293519941e-07,0.00636258968032,2.68317008018e-05,0.0037439340864,0.00395805606437,3.57852147068e-05,0.000103419963634,0.0,0.000409560125189,0.00353282477002,0.0,9.69776528817e-06,1.62039202598e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74875718086e-05,0.0,0.0,0.0,0.0,0.00221426589596,0.0,0.000490089471041,0.0,0.0,7.69221038207e-05,0.0,0.0,0.0,2.08246625872e-05,0.000160825825448,0.0,0.0,0.0,0.0,0.0542390867187,0.000202102427982,0.000184328080159,0.0,4.55033745269e-05,0.000267578320641,0.0,0.0,0.0,0.0,7.05380223425e-05,0.0,0.0,0.0,0.000377164644328,1.69696436126e-05,0.0,0.0,1.47577888385e-06,0.00148220282374,0.00496710321714,0.0,0.0,0.0,0.0,0.00206834636927,0.0,0.0,0.0,0.0,0.0,1.61381445291e-06,0.000325161088828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17892887713e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000291199394535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636527121942,0.0,0.0,0.0,0.0,0.0,0.0,0.00353980674316,0.0,0.0,7.16874229812e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397810983878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000893988867281,0.0,0.0,0.0,1.83352731575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000691940942041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.80437544435e-05,0.0337098979018,3.5913100484e-06
MX,2.36926106309e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.30490558994e-05,0.98311140199,0.0,0.00443841126192,0.0,0.0,0.0,0.0,0.0,3.44537321621e-06,1.01604745418e-06,0.0,0.0,0.0,0.0,1.54058158285e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391174130257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016961316882,0.0,0.00390337940793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00904186529693,0.0,0.0,0.0,0.0,0.0,0.00191093595651,0.0,0.0,0.0,0.000423885540663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000304124886883,0.0,0.0,0.0253174157317,0.0,0.0366875631256,0.000892305305402,0.0,8.31835806184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049582626343,0.0,0.0,0.000766898131732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00624563544009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398470038804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00198351827951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49262177754e-05
TH,0.0,0.0,0.0,9.76290379646e-05,0.0,0.0,0.0,0.0,0.0,0.996753144733,5.94029808955e-06,0.0,0.0,0.0,0.0,0.0,2.71062726471e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10847570912e-05,0.0,0.000456501266448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41725380104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38342170664e-05,0.0,0.0,3.8745909782e-05,0.0,0.0,0.000811778296816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000741754112812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69214318003e-07,0.0,0.0
