,PL,RU,FR,MN,IN,JP,DE,CN,SK,GB,CD,GL,RW,GH,SD,NL,NO,AU,ES,AR,MX,BR,TH,CU,SV,SY,KR,PK,PE,KY,VN,IT,DK,SG,BE,FI,CH,SE,NG,ET,BS,PH,TM,IR,CL,EC,AE,ZA,KE,TD,ZW,AT,SA,GE,CI,EG,PT,LB,LY,QA,LK,HN,GR,BO,VE,NP,IE,HU,CZ,TR,LV,NZ,YE,TJ,ID,ER,UG,DZ,RO,MY,CR,LU,DO,BG,AF,IL,MA,GU,AM,DJ,MM,PG,CY,RE,UA,CO,GT,CM,EE,PW,TL,MR,CK,PF,NR,SI,UZ,EH,LT,GA,BJ,KZ,KG,OM,SS,JO,BD,WS,SR,IQ,BH,HT,MD,MV,NU,UY,TV,NI,MG,BZ,MP,GI,GQ,KP,IS,KH,MZ,AO,GY,NE,PA,KI,GF,JM,SN,AG,LI,RS,BB,AZ,HR,VC,AL,AW,SH,FM,CV,SB,AS,GP,BY,TN,KW,TZ,MK,YT,GW,BF,PY,SC,MF,CF,ML,MU,ZM,KM,GN,BA,GM,BQ,BT,XK,MQ,BN,SO,SZ,TW,MH,ME,SL,ST,MW,FO,MS,FJ,LR,BI,MC,GD,LA,NC,AQ,AI,MT,CG,TT,AD,LC,BM,TK,TO,DM,TC,BW,KN,GS,PS,LS,TG,VU,FK,WF,PM,US,IM,CA
PL,0.974010421689,0.0,0.000534705862678,0.0,0.0,0.0,0.00151723285773,0.0,0.0,0.000108083261279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387816577494,0.0,0.000216074280237,0.000132645896307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000593603290135,0.000360602966154,0.0,8.44896433679e-05,4.8985875688e-05,0.0,0.00122504625671,0.0,0.0,0.0,0.0,0.0,0.0,0.000308525108361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00417282712435,0.0,0.0,0.0,0.0,0.0,0.000118079314034,0.0,0.0,0.0,0.00165960511825,2.57070127086e-05,0.000126926999944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000797713412752,0.0,0.0,0.0,0.0,0.000214190049636,0.0,0.00186569138255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00118399236745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00759026568815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000953921927948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000473911975999,0.0,0.0,0.0,3.91376421431e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32938604428e-06,0.0,0.0
RU,0.0,0.999726858592,0.000281565277518,0.0,0.0,2.57833217328e-06,0.0,0.0,0.0,4.47547343797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000247602141343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29553517936e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.23731612988e-05,0.0,0.0,0.0,0.0,1.67996443764e-05,0.0,0.0,0.0,1.86892149927e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74702406094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56770714954e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000274305006293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000455408082289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00187238151737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116791053057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43486051517e-06,0.0,0.0
FR,0.00165516880784,0.000136338126283,0.970072337326,0.0,0.0,3.61150093795e-07,0.00641497728285,7.19577982776e-07,1.58128538329e-05,0.00307754751958,0.0,0.0,0.0,0.0,0.0,0.00349769499587,0.000866447183428,0.000519544021072,0.00206090337081,0.00241907292092,0.00267567590183,0.0,0.00018804954773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136810537363,1.25961453069e-05,0.00011593019775,0.018447588836,0.0046363963165,0.00993861684384,0.00351100767814,0.00060938578589,0.0,0.0,0.0,0.0,0.000164132525557,0.00315856025474,0.0,9.70980698901e-05,0.0,0.0,0.00178657845831,0.0,0.000943425058204,0.0,0.0,0.0,0.0,0.0132174846048,0.0,0.000466279459231,0.0,0.0,0.0,0.00061389561776,0.0,0.0,0.0,0.00197904576491,2.05656101669e-05,5.60824389766e-05,1.60127435559e-05,0.0,0.0,0.0,0.0,2.10449492298e-05,0.0,0.0,0.0,0.00398685056928,0.000307861072229,0.0,0.00396233405573,0.0,0.0053935641497,0.0,0.000238636129016,0.0023566134724,0.0,0.0,0.0,0.0,0.0,0.0,0.0585568567736,1.40390794428e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133985632396,0.0,1.22531581315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36751679656e-05,0.0,0.0,0.0,0.0,0.0,0.0241943187714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00444933696397,0.0,0.0,0.0,0.0,0.00824158638109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00581482501961,0.0,0.0,0.0,0.0,0.0,0.0352113324885,0.0,0.0,0.0227278419105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289963825793,0.0,0.0,0.0,8.31199924155e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186072173768,0.0,0.0,0.0,0.0114104858837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010235501352,1.64701182426e-05,0.0,6.96718932991e-05
MN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.999302828477,9.17898111635e-05,0.000153405970382,0.0,0.0,3.3079444956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59492955787e-05,1.03115687227e-05,0.0,0.0,5.25393672844e-07,0.000629961048317,0.0,0.0,0.0,3.04536121413e-05,0.0,0.0,0.0,0.0,0.000106483462697,0.0,0.0,0.0,0.0,0.0,1.90404039146e-06,0.0,0.0,0.0,0.000554296540691,0.0,0.0,0.00137216726804,0.0,0.0,0.000168747105457,7.31220039173e-07,0.0,0.0,1.0747222417e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00173751470279,7.23348637349e-06,0.0,0.0,0.00443137013001,0.0,0.00011534764225,0.0,0.0,0.0,0.0,0.0,0.0,2.25788905082e-05,0.0,0.0,0.0,0.0,9.96130203888e-06,0.0,0.0,0.0,5.80605078774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000281332803797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07986966981e-05,0.0,5.37951643155e-05
JP,0.0,2.45839329057e-06,7.11151289281e-07,0.0,6.87011722128e-05,0.996724115282,0.000134222544033,1.91768348381e-05,0.0,0.00027124160917,0.0,0.0,0.0,0.0,0.0,0.000421411256977,0.00116623555313,0.000531752340456,0.0027571029727,0.0,0.0,0.0,0.000291558816493,0.000730890852451,0.0,0.0,0.00173663329243,8.34034869923e-05,0.0,0.0,0.0,0.000163480335053,0.0,1.45930165176e-05,0.0,0.000821645438407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000754614189032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000106534938604,0.0,0.0,0.0,6.40396403856e-06,0.0,3.14735746601e-05,0.0,0.0,0.0,0.000915518864708,0.0,4.64003223426e-05,0.0,0.0,0.0,0.0,0.0,0.00059974229218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80835767244e-05,0.0,0.0,0.0,0.00531973772142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29123769704e-05,0.0,0.0
DE,0.00548668392253,0.0,0.00749420343235,0.0,6.81189615255e-05,7.96308866813e-05,0.970576267109,3.30186684127e-06,0.00099738451514,0.0100916031258,0.0,0.0,0.0,0.0,0.0,0.00228265403995,4.63821962109e-05,0.000894210826954,0.00274268843579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000780584619057,0.0,0.0,0.0,0.00273195722848,0.0236665518944,0.000173785715221,0.0033238284761,0.00892907362928,0.00988460234628,0.0050235066119,0.0,0.0,0.0,0.0,0.0,0.0,0.00103468419936,0.0,7.31621344662e-06,0.000866605812936,0.0,0.0,0.0,0.00680095473146,0.0,0.0,0.0,0.0,0.000214339259056,0.0,0.00115518066199,0.0,0.0,0.00188679851808,0.00194928506862,0.0,0.0,0.0,0.00305346276239,0.00226827541322,0.0011164049797,0.000140375084506,0.0,0.0,0.0,0.0,0.000521119536731,0.0,0.0,0.0,0.00303975545346,0.0,0.0,0.0,0.0,0.00455971326041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94193583053e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000578063129845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000196326458735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36907178419e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57391211545e-05,0.0,8.60652799577e-05
CN,0.0,0.0,7.85364985064e-06,0.0,0.0,0.000106290959183,3.08477056206e-05,0.998901467785,0.0,0.000244058638797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000322566822637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110673456686,0.0,0.0,0.0,0.0,8.39590264335e-06,0.0,0.00273430140173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000710812145157,0.0,0.0,0.0,0.0,0.0,0.000317305794091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64547397993e-06,0.0,0.0,0.0,0.000279717319768,0.0,3.00616787488e-06,0.0,0.0,0.0,0.0,0.0147382584668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202177808475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000902817412738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,9.50855385399e-07,0.0,0.0,0.0,5.13377085543e-05,0.0,0.995617094409,9.3819367798e-06,0.0,0.0,0.0,0.0,0.0,9.77092078425e-05,0.0,2.62884609347e-06,1.83404969794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08277526083e-05,0.0,0.0,3.93029964271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85569510918e-05,0.0,0.0,0.0,0.0,0.0,0.000819509715841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37862537121e-06,0.0,0.0,0.0,0.0,1.13189023503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2037795878e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49298903481e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,0.000246045134496,1.59369863851e-05,0.00226325641939,0.0,9.24661144485e-06,0.000101300370985,0.00635270664225,1.64448346103e-05,0.000114740643568,0.967250282794,0.0,0.00395496311548,0.0,0.0,0.0,0.00118489758412,0.00237120085672,0.001045060958,0.0013223014365,0.000261200771717,0.0,0.000451133864479,0.0,0.000281111866327,0.0,0.0,1.50196354996e-06,7.45434069441e-05,0.0,0.0,0.0,0.00103592420741,0.00768530029028,8.67078360654e-07,0.000534290121487,0.0033020141681,2.65062137776e-05,0.00647367803054,3.57228105621e-05,0.0,0.0,0.000393253974254,0.0,9.62161450648e-06,0.0,0.0,8.33631065493e-05,0.0,0.0,0.0,0.0,1.70842926622e-05,0.0,0.0,0.0,0.0,0.000480345583085,0.0,0.0,0.0,2.06954771179e-05,0.000160825825448,0.0,0.0,0.0,0.0,0.0534916624468,0.000186418687159,0.000213518832322,4.36455661909e-05,0.0,0.0,0.0,0.0,6.93694430727e-05,0.0,0.0,0.0,0.00058643443582,0.0,0.0,1.60762158947e-06,0.00150249044925,0.00496616684712,0.0,0.0,0.0,0.00204605296978,0.0,0.0,0.0,0.0,0.0,0.0,1.18001807006e-05,0.000320234723397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1740753297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000260824628947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636527121942,0.0,0.0,0.0,0.0,0.0,0.0,0.00337684443006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397810983878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00107236395995,0.0,0.0,0.0,1.77272654167e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000668894212963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88117282838e-05,0.0339653764323,3.11241904139e-06
