,PL,RU,FR,MN,IN,JP,DE,CN,SK,GB,RW,GH,SD,NL,NO,AU,ES,AR,MX,BR,TH,CU,SV,SY,KR,PK,PE,KY,VN,IT,DK,SG,BE,FI,CH,SE,NG,ET,BS,PH,TM,IR,CL,EC,AE,ZA,KE,TD,ZW,AT,SA,GE,CI,EG,PT,LB,LY,QA,LK,HN,GR,BO,VE,NP,IE,HU,CZ,TR,LV,NZ,TJ,ID,ER,UG,DZ,RO,MY,CR,LU,DO,BG,AF,IL,MA,GU,AM,MM,PG,CY,RE,UA,CO,GT,CM,EE,PW,MR,CK,PF,NR,SI,UZ,EH,LT,KZ,OM,JO,BD,WS,SR,IQ,BH,HT,MD,MV,NU,UY,TV,NI,MG,BZ,MP,GQ,KP,IS,KH,MZ,GY,PA,KI,GF,JM,SN,AG,LI,RS,BB,AZ,HR,VC,AW,SH,FM,CV,SB,AS,GP,BY,TN,KW,TZ,MK,GW,BF,SC,ML,MU,ZM,BA,GM,BQ,BT,XK,MQ,BN,SO,SZ,TW,MH,SL,MW,FO,MS,FJ,LR,MC,GD,LA,NC,AQ,AI,MT,CG,TT,AD,BM,TK,TO,DM,TC,BW,KN,PS,VU,FK,PM,US,IM,CA
PL,0.791763617839,0.0,0.00488533515947,0.0,0.0,0.0,0.00414103858699,0.0,0.0,0.000350280377954,0.0,0.0,0.0,0.0,0.0,0.0,0.0121318259522,0.0,0.00121024663446,0.000931058421229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022161083965,0.000896606617177,0.0,0.000317502191002,0.000153254280723,0.0,0.00523466682632,0.0,0.0,0.0,0.0,0.0,0.0,0.00131404683489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131572591891,0.0,0.0,0.0,0.0,0.0,0.000747941091072,0.0,0.0,0.0,0.00495540338692,0.000157676600311,0.00193311288817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047818853534,0.0,0.0,0.0,0.0,0.0,0.0,0.0167933601678,0.0,0.0,0.0,0.0,0.0,0.0,0.00615535635632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696311958532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139315255873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111379122377,0.0,0.0,0.0,3.30239049553e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,0.0,0.999982809148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50414009899e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81027837395e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0145746398351,0.0,0.813296165318,0.0,0.0,6.84384934692e-06,0.0176623387381,0.0,0.000366381904754,0.00822697409848,0.0,0.0,0.0,2.7415975726e-05,0.00616212923961,9.55861852014e-06,0.00505109491507,0.0,0.0144354587818,0.0,0.0007897070057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00457346308273,3.13191745302e-05,0.0,0.0171381507083,0.01176416009,0.025875867897,0.014429517813,0.0,0.0,0.0,0.0,0.0,0.0,0.0156735564325,0.0,0.0,0.0,0.0,0.472962719409,0.0,0.00591757205313,0.0,0.0,0.0,0.0,0.053735397235,0.0,0.0,0.0,0.0,0.0,0.00379612671306,0.0,0.0,0.0,0.00590872362306,0.000126141280249,0.000854142031512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027149626876,0.0,0.0,0.0731872098259,0.0,0.0109695155045,0.0,0.00218671541375,0.0171250895361,0.0,0.0,0.0,0.0,0.0,0.31180576322,0.000107585477107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00130927055404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544358879504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227125945592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0393707795025,0.0,0.0,0.0,0.0,0.129401102839,0.0,0.0,0.316912151133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333777274961,0.0,0.0,0.0,7.01357204754e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614063107983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849068955484,0.0,0.0,0.000489517467914
MN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.994348256195,2.49644187281e-06,0.000422132196254,0.0,0.0,0.000137161224788,0.0,0.0,0.0,0.0,0.0,0.0,3.39060052178e-05,0.0,0.0,3.68780502963e-06,0.00264549773812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000401410961626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00232926775257,0.0,0.0,0.00669667120009,0.0,0.0,0.00253743317372,2.54941650867e-06,0.0,0.0,6.74112506027e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568308548559,4.46991652578e-05,0.0,0.0,0.0,0.0,0.000707496599859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91165603541e-05,0.0,0.0,0.0,0.000567710261818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124866551664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027426181796,0.0,0.000377966944414
JP,0.0,0.0,6.24426854821e-06,0.0,9.6210317182e-07,0.959867217855,0.000406078347462,7.66522612772e-06,0.0,0.00073413637929,0.0,0.0,0.0,0.0,0.0381488736081,0.00408116578724,0.00906577362689,0.0,0.0,0.0,0.00036338849031,0.0,0.0,0.0,0.00496299716018,0.0,0.0,0.0,0.0,0.000561797551518,0.0,0.0,0.0,0.00257055077416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368278942704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000434397342036,0.0,0.0,0.0,0.0,0.0,0.000194490241959,0.0,0.0,0.0,0.00273341225311,0.0,0.000706682275445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176819536241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42055155814e-06,0.0,0.0
DE,0.0405040551994,0.0,0.0579073873623,0.0,0.00058459257509,0.00145919879658,0.923807357564,4.08889778788e-05,0.0231092782044,0.0299754534237,0.0,0.0,0.0,0.00769192603617,0.0,0.00753209676629,0.00805669677616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101836602811,0.0,0.0,0.0,0.0102014665733,0.0588447379138,0.0,0.00409379342304,0.0230976124408,0.0419770930768,0.0214569325532,0.0,0.0,0.0,0.0,0.0,0.0,0.00504963209693,0.0,0.0,0.00492460844476,0.0,0.0,0.0,0.0186945507783,0.0,0.0,0.0,0.0,0.000873970602021,0.0,0.0,0.0,0.0,0.00617136491283,0.012045562944,0.0,0.0,0.0,0.00911665127835,0.0139127000006,0.0170029769524,0.00148938364037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147390492976,0.0,0.0,0.0,0.0,0.0211994062713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00608613234907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00256567128659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00322973202486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000368657393351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13057419538e-07,0.0,0.0006046980486
CN,0.0,0.0,0.0,0.0,0.0,4.44547768999e-05,6.5992577093e-05,0.997970964578,0.0,0.00079095459583,0.0,0.0,0.0,0.0,0.0,0.00270450014839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00550252344134,0.0,0.0,0.0,0.0,3.16500540874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00439244755614,0.0,0.0,0.0,0.0,0.0,0.00483260394021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273505001327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00259396115299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,8.34899193243e-06,0.0,0.0,0.0,0.000160620378413,0.0,0.909186445943,3.04053404966e-05,0.0,0.0,0.0,0.0,0.0,2.25768835795e-05,6.0306341644e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000121945883748,0.0,0.0,0.000171479503091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.56918866877e-05,0.0,0.0,0.0,0.0,0.0,0.012481227748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83240466607e-05,0.0,0.0,0.0,0.0,0.000110675177529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22490693304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162817386788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,0.00208214261143,0.0,0.0163919765866,0.0,0.000115436089426,0.00160319669533,0.018216762439,0.000297829802489,0.00265852679013,0.908417898724,0.0,0.0,0.0,0.000931947165679,0.0786483682915,0.00649984889931,0.00357986567812,0.0,0.0,0.00316656598748,0.0,0.0,0.0,0.0,3.69910717669e-05,0.000972507930572,0.0,0.0,0.0,0.00390176642402,0.0191088031492,0.0,0.0,0.00961642218648,0.0,0.0277000400493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00195861420943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155311657346,0.00114341814659,0.00325191650958,0.000139611635685,0.0,0.0,0.0,9.46781115569e-09,0.0,0.0,0.0,0.00374821099326,0.0,0.0,8.66713483377e-07,0.0,0.0485587188966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000780657749208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000448352623703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02609666861e-05,0.217834711699,2.18679788375e-05
