,AR,MX,BR,TH,AU,ES,KR,GB,PK,EG,PE,KY,SV,CU,SY,IN,VN,NL,IT,DE,DK,NO,SG,BE,FI,CH,SE,GL,NG,JP,ET,BS,PH,TM,IR,RU,CL,EC,AE,ZA,KE,TD,ZW,AT,SA,GE,CI,FR,PT,CG,LB,SD,LY,QA,LK,HN,GR,BO,VE,NP,IE,HU,CZ,GH,TR,PL,LV,NZ,YE,TJ,ID,ER,UG,DZ,RO,CN,MY,CR,LU,AO,DO,BG,AF,IL,MA,RW,GU,AM,DJ,MM,PG,CY,RE,UA,CO,GT,CM,EE,PW,TL,MR,CK,PF,NR,SI,UZ,EH,LT,GA,BJ,CD,KZ,KG,OM,SS,JO,BD,WS,SR,IQ,BH,HT,MD,MV,PS,NU,MN,UY,TV,NI,MG,BZ,MP,GI,GQ,KP,IS,KH,MZ,GY,NE,PA,KI,GF,JM,SN,AG,LI,RS,BB,AZ,HR,VC,AL,AW,SH,FM,CV,TW,SB,AS,GP,BY,TN,KW,TZ,SK,MK,YT,GW,BF,PY,SC,MF,CF,ML,MU,ZM,KM,GN,BA,GM,BQ,BT,XK,MQ,BN,SO,SZ,MH,ME,SL,ST,MW,FO,MS,FJ,LR,BI,MC,GD,LA,NC,AQ,AI,MT,TT,AD,LC,BM,TK,TO,DM,TC,BW,KN,GS,VU,LS,TG,FK,WF,PM,US,IM,CA
AR,0.994772230763,0.0,0.0,0.0,5.21315560735e-05,0.0,0.0,0.000102470903097,0.0,2.78142976725e-05,9.07101237201e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000153649667084,0.0,0.0,0.0,0.0,0.0,4.20335213591e-05,3.51772315408e-05,1.22245284354e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000707580652128,0.0,0.0028945038559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000148749999085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000469832991639,0.000254950835097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047869162015,0.0,0.0,0.0,0.0,0.000518730407328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25442267443e-05,0.0,0.00151000454354,0.0,0.0,0.0,0.0,0.0,0.0025237836071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00108274177354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83046566779e-07,0.0,0.0,0.0,0.0,0.000183790877422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00473116891053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218262800325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2567524501e-05,0.0,0.0
MX,0.0,0.983747496129,2.27764698028e-05,0.0,0.0,0.0044242070895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43592380138e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000970257390467,0.0,0.0,0.0,0.0388579726503,0.0,0.0,0.0,0.0,0.0,0.0,0.00162363901727,0.00349620576296,0.0,0.0,0.0,0.0,0.0,0.0,0.00904186529693,0.0,0.0,0.0,0.0,0.0,0.00190527951395,0.0,0.0,0.0,0.000381912155535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000302153420071,0.0,0.0,0.0248756382258,0.0,0.0,0.0371897235111,0.000822107561856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00344736912959,0.0,0.0,0.000798656230458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00578335105042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00360390399019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018196968441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43739883799e-05
BR,0.0,4.62111621299e-05,0.997189071236,0.0,0.0,0.000883146313051,0.0,0.000730919366192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34734409906e-07,0.0,0.0,4.04949566327e-05,0.0,0.0,0.0,0.0,4.08761316537e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.11565086801e-05,0.0,6.47496044615e-05,0.0,0.0,0.0,0.00458731187297,0.0,3.21642093686e-07,1.81972986575e-06,0.0,0.0,0.0,0.0,6.96650828277e-06,0.0,0.0,0.0,0.000800519563883,0.0,7.33697684132e-05,0.0,0.0,0.0,0.0,1.90594998741e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.30813089653e-07,0.000484616354288,0.0,0.0,0.0,0.0,9.54320478723e-06,0.0,0.0,0.0,0.0,0.0,1.09142008639e-07,0.00173283919266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283968594479,0.0,0.0,0.00549490331385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08605304459e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00159829700257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101340646507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286337800014,0.0,0.0,2.39650604204e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186520805494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43666072161e-06,0.0,5.88327437236e-07
TH,0.0,0.0,0.0,0.996762834069,0.0,5.93044769184e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14957934092e-05,0.0,0.0,2.70760040724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7795252352e-05,0.0,0.0,0.000434481739304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34216314314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32493484224e-05,0.0,0.0,3.87417724158e-05,0.0,0.0,0.000794054583675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000723377382848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67147146632e-07,0.0,0.0
AU,8.79493654043e-05,0.0,0.0,0.0,0.987063528917,0.000554915957682,2.22693842503e-05,0.000689703049896,0.0,0.000178011505104,0.000580544791808,0.0,0.0,0.0,0.0,6.55108340369e-06,0.0,0.000209761313801,0.000191614211547,0.000298267855996,0.0,0.000100075933994,0.0012309565152,0.0,4.98839796219e-05,0.0,0.0,0.0,0.0,0.000131501383944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70380908163e-05,0.0,0.0,0.0,0.000203413167814,0.0,0.0,0.0,0.000331638194554,2.86506764077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00181554544872,0.0,0.0,0.0,0.0,0.0,1.87030768838e-05,0.0,0.0,0.0,0.0,0.01323337431,0.0,0.0,3.15821490401e-05,0.0,0.0,0.0,0.0,1.4452185715e-05,0.000146803906991,0.0,0.0,0.00300693114649,0.0,0.0,0.0,8.41936696957e-06,0.0,0.0,0.0,0.0,0.0,0.00306362636896,0.0862241674575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00639658603086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000464283051164,0.0,0.00966402907867,0.0,0.0,0.0,0.0,0.0,0.0152343644511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00692954735068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000301218515336,0.0,0.0,0.0,0.0,0.0,0.0,0.00545128911437,2.13992576025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148881228527,0.0,0.0,0.0,0.00877393048217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139688192208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70651375202e-05,0.0,0.0
ES,0.0,0.00612351839628,0.000602473239933,1.26353596927e-05,0.000937729752129,0.968536830992,5.57521261074e-06,0.00148691294737,0.000820821902345,0.0,0.000814549016292,0.0,0.0,0.0,0.0,3.13593374976e-06,0.0,0.00103864782191,0.00225495119774,0.00201848603742,0.000833887646987,0.000704116210416,1.58966557044e-06,0.00232764566886,0.000717948143395,6.49004008153e-05,6.64114330435e-05,0.0,0.0,0.00114438901493,0.0,0.0,0.0,0.0,0.0,0.0,0.00147107656102,0.0,0.000421964563884,0.000696782718492,0.0,0.0,0.0,0.00113789600082,0.0,0.0,0.0,0.00159375127539,0.0185237216185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164994047296,0.0,0.0,0.0,1.75506541204e-05,0.0227737557431,0.00027451846537,0.0,0.000380107424049,0.00968814555807,0.0,0.0,0.0,0.0,0.000526890001695,0.0,0.0,0.0,0.00374092968315,0.0,0.0,0.0,8.17871525705e-06,0.0,0.0,0.00143762714442,0.0,2.77532077189e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00130252091447,0.00010752265305,0.0,0.00755375352252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79172392298e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00881127348439,0.0,0.0,0.0,0.0,0.0,0.00825405397416,0.0,0.0,0.0,0.00132131882588,0.0,0.0,0.0,0.0,2.5057885822e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082794312173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35634273946e-06,0.0,0.0
KR,0.0,0.0,0.0,0.0,4.08412595618e-05,6.05064775706e-06,0.987385579448,1.8158700541e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0108483831e-05,0.0,0.0,0.0,0.0,0.0,1.36657909016e-06,0.0,0.0,9.50171040417e-07,0.0,0.0,0.0,0.0,0.000553716944779,0.0,0.0,0.00011005010987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000923091048314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56786349493e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,0.0002635336149,0.0,0.000449808359801,0.0,0.00105139420798,0.00134133882492,1.50937544989e-06,0.964558045475,6.87699025873e-05,0.0,0.0,0.0,0.0,0.000280897934625,0.0,9.00006498221e-06,0.0,0.00240226294475,0.000979379566346,0.00608528036896,0.00797274800239,0.00235082795381,8.67090311147e-07,0.000528567002029,0.00334762594673,2.73683583857e-05,0.00663382735855,0.00395496311548,3.56141612447e-05,0.000100721526395,0.0,0.0,0.000389804823382,0.0,9.7428691892e-06,1.60794557058e-05,0.0,0.0,8.29420418208e-05,0.0,0.0,0.0,0.0,1.70684400123e-05,0.0,0.0,0.0,0.00232372165569,0.00040889280469,0.000670911489778,0.0,0.0,0.0,0.0,2.00272415587e-05,0.000160825825448,0.0,0.0,0.0,0.0,0.0740350609925,0.000168473406363,0.000213406204537,0.0,3.95936885899e-05,0.000218276085035,0.0,0.0,0.0,0.0,6.92953399214e-05,0.0,0.0,0.0,0.000588591332819,1.64192416748e-05,0.0,0.0,1.60762158947e-06,0.0,0.00150249044925,0.00496340232946,0.0,0.000227644471775,0.0,0.0,0.00189943032915,0.0,0.0,0.0,0.0,0.0157448657017,0.0,1.17975755907e-05,0.000319883751186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13843068577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636527121942,0.0,0.0,1.77238257749e-05,0.0,0.0,0.0,0.0,0.00337479360424,0.0,0.0,0.000114675626399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397810983878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109662855542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84580753039e-05,0.0339653764323,2.98232572365e-06
PK,0.0,0.0,0.0,0.0,0.0,0.000238084126546,0.0,2.211194583e-05,0.977927212225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44251431909e-06,0.000145248187005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27048215892e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209081560975,0.0,0.0,0.0,0.0,0.0,0.00709815992245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82391085724e-07,0.0,0.0
EG,3.29810120266e-05,0.0,0.0,0.0,0.000125115734576,0.0,0.0,0.0,0.0,0.998669920285,0.000217704296928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112759917993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00114885988836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000174106144186,0.0,0.0036240109045,0.0,0.0,0.0,0.0,0.0,0.00571288666915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00259858025651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052383072078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18900756591e-07,0.0,0.0
