,fuel,em_fact
0,0,197.682693481
1552,AGAS,0
1570,BAG,0.3
3125,BFG,604.7
3489,BGAS,127
5437,BIOMASS,119.2
6377,BITUMEN,187.7
6385,BL,164.6
6614,CGAS,116.9
6726,CKGAS,116.9
6740,COAL,215.3
23528,COG,103.2
23614,COKE,226.7
23706,CSGAS,116.9
23794,CWM,215.1
23800,CXGAS,158.9
23802,DGAS,0
24835,DME,150.8
24837,ETHANOL,150.8
24840,FGAS,120.6
25136,GAS,130.4
61193,GEO,16.9
62196,H2,0.6
62230,HELIUM,158.9
62231,HZDWST,91.9
62232,INDWST,332.6
62238,JET,166.3
62270,KERO,167.2
62602,LGAS,114.7
66421,LIGNIN,206.7
66422,LIQ,221.6
66713,LNG,0
67596,LPG,146.7
67897,MANURE,91.9
67899,MBM,91.9
67904,MEDWST,91.9
67905,METHANOL,158.9
67906,MGAS,118.8
68315,NAP,170.4
68423,NGL,149.3
68424,OGAS,172.3
68452,OIL,180
111395,ORI,179.1
111406,PEAT,246.5
111485,PWST,206.7
111501,REF,213.2
112700,REFGAS,5.1
112836,RGAS,158.9
112995,RPF,206.7
112998,SHALE,248.8
113055,SUN,0
125816,TGAS,158.9
125830,TIRES,189.5
125851,TSAND,248.8
125853,UR,0
127008,VOCGAS,158.9
127009,WAT,0
187005,WIND,0
206127,WOOD,68.5
207766,WOODGAS,91.9
207913,WSTGAS,138.2
208014,WSTH,0
211926,WSTWSL,91.9
